id	label	x	y	cluster	weight<No. of pubs>	weight<No. of cits>
3323	Expert Opinion on Drug Metabolism & Toxicology	-0.1703	0.5166	2	1530	9320
3324	Psychotherapy Research	-0.6632	-0.3645	1	1530	10473
3325	Gerodontology	-0.5257	0.5512	8	1529	6383
3326	International Journal of Endocrinology	-0.3097	0.5006	2	1529	3170
3328	Journal of Plant Growth Regulation	0.5949	0.4033	3	1526	8169
3329	Journal of Broadcasting & Electronic Media	-0.5955	-0.57	1	1526	12640
3330	Genes and Immunity	-0.2175	0.7132	2	1526	14533
3331	Animal Conservation	0.5287	0.2488	3	1525	12288
3334	Clinical Psychology Science and Practice	-0.6618	-0.3583	1	1524	9746
3337	Simulation & Gaming	-0.6298	-0.5829	1	1524	5740
3339	Chinese Journal of Polymer Science	1.2147	0.1305	4	1523	3938
3340	Journal of Food Safety	0.5264	0.4763	3	1522	2826
3341	Nations and Nationalism	-0.5556	-0.5673	1	1522	3441
3342	Mineralogy and Petrology	0.6987	-0.0131	3	1522	3662
3343	BMC Cardiovascular Disorders	-0.352	0.4793	2	1521	4571
3344	Reference Services Review	-0.5436	-0.7154	1	1520	3467
3345	Journal of Agricultural and Applied Economics	-0.4473	-0.6432	1	1520	3124
3346	Economic and Industrial Democracy	-0.5508	-0.6411	1	1520	4856
3348	Infancia y Aprendizaje	-0.7047	-0.4678	1	1518	1799
3349	Instrumentation Science & Technology	0.9195	0.2913	4	1518	1662
3350	Journal of Documentation	-0.5422	-0.7148	1	1517	8796
3351	Journal of Pharmacy Practice and Research	-0.4342	0.246	2	1517	1537
3352	Italian Journal of Zoology	0.5371	0.2796	3	1516	3304
3354	Molecular Plant Pathology	0.5745	0.421	3	1515	15110
3356	Perspectives In Psychiatric Care	-0.632	-0.2758	1	1514	2399
3358	Particulate Science And Technology	1.0853	0.1146	4	1512	1770
3359	Biomarkers	-0.1309	0.525	2	1512	6383
3360	Journal of Biological Rhythms	-0.2185	0.274	2	1512	16492
3361	Journal of Orthopaedic Surgery	-0.4288	0.5039	2	1511	2963
3363	Acta Zoologica	0.5344	0.2858	3	1511	3582
3365	Experimental and Molecular Medicine	-0.1329	0.6875	2	1511	9865
3366	Applied Intelligence	0.4466	-0.5473	5	1510	4443
3367	Accounting and Business Research	-0.4697	-0.7088	1	1510	9360
3368	Financial Management	-0.4602	-0.7057	1	1510	9756
3369	American Journal of Family Therapy	-0.6535	-0.3916	1	1509	5851
3371	Clinical Child Psychology and Psychiatry	-0.6639	-0.3695	1	1508	5579
3372	Invertebrate Reproduction & Development	0.535	0.2869	3	1508	5225
3373	Drug and Chemical Toxicology	-0.0265	0.5005	2	1508	4110
3377	International Journal of Uncertainty Fuzziness and Knowledge-Based Systems	0.4435	-0.5508	5	1507	3776
3378	Journal of Further and Higher Education	-0.6764	-0.545	1	1506	4629
3379	Autism	-0.7037	-0.363	1	1506	12562
3381	International Journal of Productivity and Performance Management	-0.498	-0.7002	1	1505	4232
3383	Estuaries and Coasts	0.5831	0.2218	3	1504	7970
3385	Tourism Recreation Research	-0.5106	-0.6612	1	1503	2532
3387	Theory & Psychology	-0.6518	-0.482	1	1502	7376
3388	Management of Environmental Quality An International Journal	-0.4346	-0.6089	1	1501	1428
3389	Research in Science Education	-0.6988	-0.5393	1	1501	6409
3390	Communication Research	-0.5991	-0.5684	1	1500	25202
3392	Criminology	-0.6098	-0.4549	1	1499	47656
3393	Computational Optimization and Applications	0.6336	-0.5873	5	1499	6606
3394	Physical & Occupational Therapy In Geriatrics	-0.6392	-0.2374	1	1498	1420
3396	Journal of Atmospheric Chemistry	0.737	0.0485	3	1498	12020
3397	Frontiers in Aging Neuroscience	-0.4399	0.2719	2	1498	4992
3399	Journal of Family Violence	-0.6421	-0.3956	1	1496	15115
3400	ChemPlusChem	1.4222	0.3155	4	1496	4155
3401	Biology & Philosophy	-0.4225	-0.3578	1	1496	5289
3402	Algebraic & Geometric Topology	0.6725	-0.6092	5	1495	3204
3403	Asia Pacific Business Review	-0.5314	-0.6839	1	1495	2197
3405	Biodegradation	0.6611	0.3318	3	1494	8993
3407	Expert Opinion on Drug Delivery	0.1055	0.5968	4	1494	11714
3408	RNA Biology	0.2104	0.8283	6	1493	10516
3412	Extremophiles	0.5442	0.5119	3	1492	10666
3413	International Economic Journal	-0.4638	-0.6559	1	1491	1380
3416	Clinical Physiology	-0.3541	0.4652	2	1490	4352
3418	COMBINATORICA	0.6483	-0.6048	5	1490	4737
3420	The Geneva Papers on Risk and Insurance Issues and Practice	-0.4042	-0.6732	5	1488	2364
3421	Review of International Economics	-0.4642	-0.6552	1	1487	4704
3422	Journal of Computer Assisted Learning	-0.692	-0.5419	1	1487	7500
3423	Journal of Contemporary Asia	-0.5297	-0.5904	1	1487	2986
3424	Transactions of the Indian Institute of Metals	1.259	-0.0284	4	1486	1154
3425	International Journal of Comparative Sociology	-0.5555	-0.566	1	1485	2632
3427	Current Urology Reports	-0.3482	0.5465	2	1485	3278
3428	Minimally Invasive Therapy & Allied Technologies	-0.3859	0.5391	2	1485	2881
3429	Adsorption	1.0973	0.1733	4	1485	5465
3430	Texto & Contexto - Enfermagem	-0.5633	0.0327	2	1485	4121
3431	Biomedical Microdevices	0.9114	0.2397	4	1484	11003
3432	Animal Learning & Behavior	-0.7331	-0.4037	1	1484	12686
3433	Education 3-13	-0.6913	-0.5256	1	1483	1088
3434	Journal of Family Therapy	-0.6535	-0.3901	1	1483	5553
3435	Journal of Hepato-Biliary-Pancreatic Surgery	-0.3698	0.6067	2	1482	6867
3436	Australian and New Zealand Journal of Criminology	-0.6088	-0.4574	1	1481	3451
3437	KZfSS Kölner Zeitschrift für Soziologie und Sozialpsychologie	-0.5782	-0.5501	1	1481	1399
3440	Clinical Linguistics & Phonetics	-0.74	-0.4393	1	1480	5781
3441	European Journal of Education	-0.6753	-0.5454	1	1480	4222
3443	Grana	0.5702	0.3286	3	1479	5414
3445	Child and Adolescent Mental Health	-0.6652	-0.3684	1	1478	3209
3446	Intervention in School and Clinic	-0.7144	-0.4764	1	1477	3587
3449	Skin Research and Technology	-0.2595	0.5966	2	1476	6621
3451	Behavioural and Cognitive Psychotherapy	-0.6635	-0.3525	1	1476	6421
3452	World Archaeology	0.5788	0.0129	3	1475	8080
3454	International Journal of Manpower	-0.5468	-0.6521	1	1475	6575
3455	Industrial Relations A Journal of Economy and Society	-0.5435	-0.6446	1	1475	2738
3456	Oxford Review of Education	-0.6826	-0.536	1	1474	9893
3457	Canadian Water Resources Journal / Revue canadienne des ressources hydriques	0.6079	-0.0367	3	1474	2492
3458	Women & Therapy	-0.6448	-0.4005	1	1473	3401
3459	Applied Entomology and Zoology	0.5528	0.3505	3	1473	4595
3461	Acta Agriculturae Scandinavica Section B - Soil & Plant Science	0.5918	0.363	3	1473	1094
3462	Mathematical Geology	0.6292	-0.1566	3	1472	6088
3464	Psychology Health & Medicine	-0.6134	-0.2587	1	1472	7360
3465	Current Rheumatology Reports	-0.407	0.6039	2	1471	6483
3466	Review of Social Economy	-0.5022	-0.6279	1	1470	2835
3468	Area	-0.5062	-0.5714	1	1469	9833
3469	The Journal of Peasant Studies	-0.5158	-0.5811	1	1469	9498
3470	Latin American Antiquity	0.5787	0.0127	3	1468	3745
3471	Sociological Inquiry	-0.5942	-0.5183	1	1467	6870
3472	Journal of Community & Applied Social Psychology	-0.6353	-0.4606	1	1467	7624
3473	Computational and Mathematical Methods in Medicine	0.0513	-0.0007	5	1467	1955
3474	Criminal Behaviour and Mental Health	-0.6374	-0.3982	1	1467	5117
3476	Environmental Progress & Sustainable Energy	0.8235	0.2154	3	1466	2397
3477	Journal of Combinatorial Optimization	0.5137	-0.5796	5	1466	2615
3479	Polímeros Ciência e Tecnologia	1.1952	0.1236	4	1465	2321
3480	Total Quality Management & Business Excellence	-0.4982	-0.7013	1	1465	8838
3481	Endocrine Research	-0.272	0.5111	2	1465	3220
3484	ACM Computing Surveys	0.4567	-0.5528	5	1463	13606
3485	Chinese Geographical Science	0.5961	-0.0331	3	1463	2211
3488	Zoologica Scripta	0.5402	0.288	3	1462	7621
3489	Deviant Behavior	-0.6117	-0.4554	1	1462	8319
3490	Landscape Research	-0.4844	-0.5695	1	1461	3062
3491	Higher Education Research & Development	-0.6759	-0.5464	1	1461	9988
3493	Child & Family Social Work	-0.6405	-0.4105	1	1461	6436
3494	Gender and Education	-0.6777	-0.5346	1	1460	9248
3495	Current Neurology and Neuroscience Reports	-0.4407	0.3881	2	1460	6552
3496	Compare A Journal of Comparative and International Education	-0.6796	-0.5386	1	1460	2263
3498	Higher Education Policy	-0.6736	-0.5481	1	1459	3249
3501	Health Expectations	-0.5871	-0.2103	1	1458	8221
3503	Behavior Modification	-0.6917	-0.3924	1	1458	10784
3504	Studies in Applied Mathematics	0.6869	-0.5971	5	1454	5020
3506	VOLUNTAS International Journal of Voluntary and Nonprofit Organizations	-0.5409	-0.6199	1	1453	5423
3508	Journal of Geometric Analysis	0.6727	-0.607	5	1451	3263
3509	Journal for ImmunoTherapy of Cancer	-0.21	0.7394	2	1450	1213
3510	International Dental Journal	-0.5264	0.552	8	1449	6768
3511	Current Atherosclerosis Reports	-0.3249	0.4786	2	1447	5886
3512	Journal of Thermoplastic Composite Materials	1.1953	0.1135	4	1447	4220
3513	Growth and Change	-0.4773	-0.6264	1	1447	5177
3514	Current Gastroenterology Reports	-0.3675	0.6347	2	1447	4694
3516	Journal of Biophotonics	-0.0468	0.6028	2	1446	4696
3517	Dermatologic Therapy	-0.2777	0.5997	2	1446	5250
3518	Polymers	1.1944	0.1396	4	1445	5464
3520	Review of Industrial Organization	-0.4731	-0.6663	1	1444	4648
3521	Marketing Intelligence & Planning	-0.5198	-0.6829	1	1444	9052
3522	Fractals	0.6772	-0.5638	5	1443	3521
3524	Cancer and Metastasis Reviews	-0.2001	0.7313	2	1442	22860
3526	Basic and Applied Social Psychology	-0.6461	-0.462	1	1441	10941
3528	Molecular Imaging and Biology	-0.3593	0.5387	2	1441	5644
3529	Technology Analysis and Strategic Management	-0.5134	-0.6938	1	1441	6865
3530	Open Physics	1.2347	-0.4769	5	1441	1847
3532	Image the Journal of Nursing Scholarship	-0.6097	-0.2393	1	1440	3510
3533	Democratization	-0.5363	-0.5922	1	1439	4844
3534	La radiologia medica	-0.3849	0.5266	2	1439	3893
3536	Australian Journal of Psychology	-0.671	-0.4241	1	1438	5575
3537	Engenharia Agrícola	0.5785	0.371	3	1438	3587
3538	Culture Health & Sexuality	-0.6059	-0.3738	1	1438	8704
3539	Prostate Cancer and Prostatic Diseases	-0.3399	0.5585	2	1438	5647
3540	Counselor Education and Supervision	-0.6565	-0.4014	1	1437	7216
3541	Current Allergy and Asthma Reports	-0.2664	0.5487	2	1436	5822
3542	Personnel Review	-0.5611	-0.6567	1	1436	11228
3543	Pure and Applied Geophysics PAGEOPH	0.7186	-0.1077	3	1435	6926
3544	Advanced Optical Materials	1.575	0.0334	4	1434	5363
3545	Comprehensive Physiology	-0.1738	0.5468	2	1434	1539
3546	International Journal of Nanoscience	1.4067	0.0574	4	1434	1056
3548	Current Infectious Disease Reports	-0.2871	0.5155	2	1433	3334
3551	International Journal of Control Automation and Systems	0.653	-0.5169	5	1431	3558
3552	Implementation Science	-0.5834	-0.2144	1	1431	15595
3553	Polycyclic Aromatic Compounds	0.847	0.3339	4	1431	2036
3554	Communication Quarterly	-0.6151	-0.5601	1	1431	11133
3555	Genes Brain & Behavior	-0.5036	0.1416	2	1430	11472
3557	International Review for the Sociology of Sport	-0.5821	-0.5552	1	1429	7587
3560	Managerial Auditing Journal	-0.4737	-0.7079	1	1428	5674
3563	The International Journal of Psychiatry in Medicine	-0.6189	-0.2063	1	1426	7892
3564	Journal of Travel & Tourism Marketing	-0.511	-0.665	1	1425	8906
3565	International Journal of Consumer Studies	-0.5187	-0.6687	1	1425	7064
3567	Social Science Quarterly	-0.5496	-0.578	1	1424	10738
3569	Chemical Vapor Deposition	1.3776	0.0866	4	1420	4581
3570	Virchows Archiv A Pathological Anatomy and Histopathology	-0.3239	0.6216	2	1419	5184
3572	American Journal of Anatomy	-0.1213	0.5573	2	1419	6558
3573	Saúde e Sociedade	-0.5626	0.0332	2	1418	2595
3575	Palaeontology	0.6862	0.0171	3	1417	8307
3576	Cell Stress and Chaperones	-0.0134	0.6627	2	1416	10255
3577	Journal of Advertising	-0.523	-0.6757	1	1415	24263
3579	Brazilian Journal of Chemical Engineering	0.9739	0.1885	4	1415	3372
3581	Wildlife Society Bulletin	0.5276	0.2444	3	1414	4582
3582	Expert Review of Clinical Immunology	-0.3195	0.6681	2	1413	4198
3585	Journal of the Brazilian Society of Mechanical Sciences and Engineering	0.7862	-0.4319	5	1412	1432
3586	Cochlear Implants International	-0.53	0.3847	2	1410	1504
3587	Biota Neotropica	0.545	0.2862	3	1410	4142
3589	European Business Review	-0.5212	-0.6892	1	1409	3451
3590	Educational Measurement Issues and Practice	-0.7001	-0.5156	1	1407	5017
3591	Transport Reviews	-0.4534	-0.6223	1	1407	4937
3592	Drug Testing and Analysis	-0.0613	0.4068	2	1406	4809
3594	Aslib Proceedings	-0.5428	-0.715	1	1405	3255
3595	Transportation	-0.4534	-0.622	1	1405	6700
3598	International Journal of Laboratory Hematology	-0.2973	0.6378	2	1405	3186
3599	Journal of Surfactants and Detergents	1.136	0.1722	4	1404	4375
3600	American Journal of Alzheimer s Disease and Other Dementias	-0.6122	-0.1459	1	1404	5755
3601	Molecules and Cells	0.1254	0.7158	6	1403	6272
3603	Scandinavian Cardiovascular Journal	-0.3593	0.4902	2	1401	2659
3604	Cell Biology and Toxicology	-0.0174	0.5446	2	1400	5745
3606	Chinese Journal of Chemical Physics	1.4465	0.2187	4	1400	1565
3607	International Journal of Behavioral Nutrition and Physical Activity	-0.5473	-0.1289	1	1400	18390
3608	Australian Forestry	0.5837	0.2965	3	1400	3309
3612	The RAND Journal of Economics	-0.472	-0.6668	1	1399	18625
3614	Journal of Medical Primatology	0.0775	0.5289	3	1398	3242
3616	Quarterly Journal of Speech	-0.6133	-0.5609	1	1398	9003
3617	Geostandards and Geoanalytical Research	0.7077	-0.0053	3	1398	6610
3618	Political Communication	-0.589	-0.5742	1	1398	11360
3619	Current Oncology Reports	-0.3216	0.6374	2	1397	4311
3620	Journal of Educational Computing Research	-0.6925	-0.541	1	1396	8029
3621	European Journal of Immunogenetics	-0.2109	0.718	2	1396	2884
3622	Ichthyological Research	0.541	0.2739	3	1395	2923
3624	Scottish Journal of Political Economy	-0.4684	-0.6549	1	1395	4557
3625	Mucosal Immunology	-0.1524	0.7696	2	1395	10588
3627	Strategic Change	-0.5223	-0.692	1	1393	2179
3628	Chemical Research in Chinese Universities	1.2393	0.2704	4	1393	1240
3630	Acta Botanica Neerlandica	0.5898	0.3384	3	1392	3594
3631	Medical Microbiology and Immunology	-0.0494	0.6575	2	1392	5569
3632	Journal of Labor Research	-0.5432	-0.6443	1	1391	3906
3633	Geo-Marine Letters	0.694	-0.0142	3	1391	4894
3634	European Journal of Personality	-0.6646	-0.4382	1	1391	11144
3635	Journal of Research in Music Education	-0.7346	-0.4671	1	1390	8680
3636	Revista Brasileira de Medicina do Esporte	-0.4747	0.2193	2	1390	2425
3638	Chemistry and Ecology	0.6239	0.2682	3	1389	2992
3639	Science China Life Sciences	0.2237	0.6436	6	1389	3822
3643	Journal of Nonlinear Mathematical Physics	0.6861	-0.6032	5	1385	2498
3645	Nordic Journal of Nursing Research	-0.6096	-0.2344	1	1384	345
3646	Machine Vision and Applications	0.5045	-0.5373	5	1384	3223
3647	Hand	-0.4249	0.5072	2	1384	1368
3650	Molecular Crystals and Liquid Crystals Incorporating Nonlinear Optics	1.458	0.0936	4	1383	3799
3653	International Security	-0.5328	-0.5927	1	1380	16928
3655	Biocatalysis and Biotransformation	0.6165	0.5046	3	1379	3622
3656	Journal of Engineering Education	-0.6765	-0.5484	1	1377	5952
3658	Educational Psychology in Practice	-0.705	-0.4759	1	1377	3255
3659	Environmental Health and Preventive Medicine	-0.2409	0.2885	2	1377	2402
3661	Biological Rhythm Research	-0.2202	0.273	2	1374	2818
3663	Fullerenes Nanotubes and Carbon Nanostructures	1.3293	0.2216	4	1373	2569
3664	Journal of Sensory Studies	0.5335	0.4658	3	1373	4981
3665	Education and Urban Society	-0.6878	-0.5285	1	1373	5122
3666	Gastric Cancer	-0.3644	0.6283	2	1373	9579
3667	Metallurgical Transactions B	1.2593	-0.0304	4	1372	7741
3668	Human Communication Research	-0.6145	-0.5605	1	1372	21474
3669	Seminars in Surgical Oncology	-0.3637	0.5937	2	1372	3282
3670	Journal of Experimental & Clinical Cancer Research	-0.2348	0.7192	2	1372	8852
3671	Journal of Insect Conservation	0.5622	0.2829	3	1371	6744
3672	The Journal of Applied Behavioral Science	-0.5628	-0.6542	1	1371	12822
3673	Surgical Innovation	-0.3869	0.5675	2	1371	2751
3674	Journal of Humanistic Psychology	-0.6569	-0.3988	1	1370	4372
3675	Journal of Applied Oral Science	-0.5237	0.5547	8	1370	4309
3678	International Journal of Algebra and Computation	0.6703	-0.6083	5	1368	2797
3681	Animal Cognition	-0.0053	-0.0328	3	1368	10269
3683	Accounting Auditing & Accountability Journal	-0.4983	-0.6902	1	1367	19419
3684	Discourse Studies in the Cultural Politics of Education	-0.6806	-0.5358	1	1366	4943
3685	Climate Policy	-0.4444	-0.5895	1	1365	4867
3687	International Journal of Human-Computer Interaction	-0.5095	-0.6279	1	1365	5508
3689	Expert Review of Pharmacoeconomics & Outcomes Research	-0.4826	0.0699	2	1364	4150
3691	Journal of Product & Brand Management	-0.5193	-0.6798	1	1363	9804
3692	Historical Archaeology	0.5779	0.0124	3	1363	4115
3693	Mobile Networks and Applications	0.4651	-0.5541	5	1363	3479
3696	Marine Biotechnology	0.5029	0.4052	3	1362	10148
3698	Reviews of Geophysics	0.701	-0.0619	3	1362	36917
3699	Journal of Management Information Systems	-0.505	-0.6972	1	1361	16816
3701	Cardiovascular Diabetology	-0.3186	0.4767	2	1361	10241
3702	Development Policy Review	-0.5103	-0.5947	1	1361	4521
3706	International Journal of Experimental Pathology	-0.1731	0.626	2	1356	5926
3708	Journal of Moral Education	-0.6803	-0.5205	1	1356	4893
3711	Journal of Aging and Health	-0.611	-0.263	1	1355	12105
3712	BioMedical Engineering OnLine	-0.2773	0.3818	2	1355	4462
3713	Cultural Studies	-0.5833	-0.5645	1	1354	6595
3714	Open Chemistry	1.0984	0.2847	4	1354	2345
3716	Psychological Inquiry	-0.6629	-0.4401	1	1354	16917
3718	Zygote	0.0647	0.5874	2	1352	3265
3719	Wind Energy	0.8019	-0.4063	5	1351	6272
3720	Acta Paulista de Enfermagem	-0.5636	0.0324	2	1351	2672
3722	Congenital Anomalies	-0.1999	0.5096	2	1349	1445
3724	Journal of Biochemical and Molecular Toxicology	-0.0188	0.5307	2	1347	4841
3725	47th AIAA Aerospace Sciences Meeting including The New Horizons Forum and Aerospace Exposition	0.8369	-0.4508	5	1347	1363
3728	The Journal of Financial Research	-0.4584	-0.7054	1	1347	5518
3730	Journal of Business and Industrial Marketing	-0.5149	-0.691	1	1346	9810
3731	International Journal of Educational Management	-0.6734	-0.5502	1	1345	4363
3735	Administration & Society	-0.5393	-0.6147	1	1343	8294
3736	International Journal of Neural Systems	0.4013	-0.4663	5	1343	5456
3738	48th AIAA Aerospace Sciences Meeting Including the New Horizons Forum and Aerospace Exposition	0.8364	-0.4516	5	1342	1475
3739	International Journal of Quantum Information	1.4103	-0.6297	7	1342	4211
3741	Journal of Sustainable Tourism	-0.5103	-0.6611	1	1341	13760
3742	Cluster Computing	0.4635	-0.5541	5	1341	2154
3744	Philosophical Psychology	-0.7707	-0.4828	1	1341	4253
3745	Educational Administration Quarterly	-0.6862	-0.5352	1	1341	14136
3747	The Journal of Early Adolescence	-0.6668	-0.421	1	1341	12619
3752	Gifted Child Quarterly	-0.7039	-0.506	1	1339	11662
3754	Drugs Education Prevention and Policy	-0.6289	-0.334	1	1339	2793
3755	Ecology Of Freshwater Fish	0.556	0.2408	3	1339	8548
3756	International Organization	-0.5331	-0.5936	1	1339	34280
3758	Journal of Clinical Child Psychology	-0.6724	-0.3839	1	1338	12710
3759	Organization	-0.5609	-0.6464	1	1338	17721
3761	Child Psychiatry & Human Development	-0.6711	-0.3686	1	1338	7349
3763	Aerobiologia	0.5701	0.3284	3	1336	4500
3765	Brain Structure and Function	-0.3848	0.2461	2	1335	8389
3767	Congenital Heart Disease	-0.3625	0.4901	2	1333	2483
3769	Canadian Journal of Administrative Sciences / Revue Canadienne des Sciences de l Administration	-0.5279	-0.6862	1	1333	3898
3771	Sport in Society	-0.5821	-0.5552	1	1332	3425
3772	Journal of Offender Rehabilitation	-0.6154	-0.4425	1	1332	4818
3773	The Reading Teacher	-0.7093	-0.5132	1	1331	4428
3774	Clinical Psychology & Psychotherapy	-0.6628	-0.3561	1	1331	7596
3775	Journal of Computational Electronics	1.4731	-0.1171	5	1330	1917
3778	Acta Botanica Gallica	0.5853	0.3352	3	1330	1161
3779	Corporate Governance An International Review	-0.4988	-0.696	1	1329	10423
3781	Journal of Sustainable Agriculture	0.5542	0.3244	3	1328	2721
3782	Reviews of Modern Physics	1.6603	-0.3853	7	1328	245462
3783	Journal of Macromarketing	-0.5232	-0.6713	1	1328	7688
3784	BMC Medical Informatics and Decision Making	-0.5136	-0.1125	1	1328	6071
3785	Educational Technology Research and Development	-0.6921	-0.5414	1	1327	9248
3786	Knowledge and Information Systems	0.4427	-0.5476	5	1327	5418
3790	Archives of Physiology and Biochemistry	-0.2079	0.5294	2	1326	3233
3792	Drug Metabolism Reviews	-0.0669	0.5186	2	1325	11312
3793	Biological Reviews	0.5233	0.2756	3	1325	28886
3795	ACM Transactions on Mathematical Software	0.6523	-0.5677	5	1325	9921
3797	Applied Mathematics & Optimization	0.6552	-0.5964	5	1324	4124
3800	Business Strategy and the Environment	-0.5021	-0.6869	1	1323	11941
3801	International Journal of Minerals Metallurgy and Materials	1.2593	-0.0297	4	1323	2207
3802	Gastroenterology Research and Practice	-0.365	0.634	2	1323	2392
3804	Milbank Quarterly	-0.5804	-0.2332	1	1322	15247
3806	Sociological Research Online	-0.5784	-0.5448	1	1322	3660
3807	Clinical Implant Dentistry and Related Research	-0.5225	0.5572	8	1322	8307
3808	Journal of Psycholinguistic Research	-0.7531	-0.477	1	1321	7314
3809	Journal of Organizational Change Management	-0.5572	-0.6614	1	1321	10510
3810	Acta Veterinaria Scandinavica	0.2052	0.5212	3	1320	2744
3812	Optimization Methods and Software	0.6339	-0.5873	5	1319	5114
3815	International Journal of Sustainability in Higher Education	-0.6301	-0.5679	1	1318	4513
3816	Journal of Adolescent & Adult Literacy	-0.7086	-0.5155	1	1318	3636
3819	Evolutionary Anthropology Issues News and Reviews	0.4182	0.1184	3	1317	7731
3820	Early Childhood Education Journal	-0.7013	-0.5083	1	1316	4533
3821	Meteorological Applications	0.6703	-0.069	3	1316	3887
3822	Geologische Rundschau	0.6973	-0.0135	3	1316	4372
3823	Justice Quarterly	-0.6102	-0.4543	1	1315	20823
3825	New Directions for Child and Adolescent Development	-0.6778	-0.4339	1	1314	4828
3826	Journal of Risk Research	-0.5058	-0.539	1	1314	6259
3828	Marriage & Family Review	-0.6452	-0.4217	1	1313	4763
3829	Multivariate Behavioral Research	-0.6569	-0.4744	1	1313	21638
3830	Journal of Managerial Psychology	-0.5671	-0.6541	1	1313	13397
3831	Biotechnology for Biofuels	0.5976	0.4932	3	1312	11299
3832	44th AIAA Aerospace Sciences Meeting and Exhibit	0.8379	-0.4507	5	1312	1612
3833	Journal of Polymers and the Environment	1.1916	0.1257	4	1312	7722
3836	Lake and Reservoir Management	0.5929	0.212	3	1311	3991
3837	European Journal of Phycology	0.6069	0.3009	3	1311	7128
3838	Journal of Biomaterials Applications	0.1457	0.5665	4	1311	4873
3839	Epigenetics	-0.1445	0.7205	2	1310	12564
3840	Assessment	-0.6638	-0.3618	1	1310	11978
3841	Work and Occupations	-0.5721	-0.5934	1	1308	9796
3843	Topics in Current Chemistry	1.3003	0.3253	4	1307	11385
3844	Developmental Neuropsychology	-0.7085	-0.3002	1	1306	15192
3848	Governance	-0.5373	-0.6006	1	1304	9542
3849	The Career Development Quarterly	-0.6656	-0.462	1	1304	8981
3850	Journal of Applied Research in Intellectual Disabilities	-0.6894	-0.3805	1	1303	8184
3852	Journal of Educational Administration	-0.686	-0.5355	1	1303	8038
3855	Urban Policy and Research	-0.5005	-0.5813	1	1302	3703
3857	Journal d Analyse Mathématique	0.6719	-0.6062	5	1300	3525
3859	Ecological Monographs	0.5772	0.2532	3	1299	43498
3864	Journalism Studies	-0.5903	-0.5732	1	1298	7385
3865	Creativity Research Journal	-0.6818	-0.5058	1	1297	9796
3868	The Journal of Technology Transfer	-0.5123	-0.6904	1	1296	7199
3869	The American Review of Public Administration	-0.5396	-0.6158	1	1296	7216
3872	Vegetatio	0.5857	0.2886	3	1295	11711
3873	Thunderbird International Business Review	-0.5309	-0.6904	1	1295	3495
3875	Scandinavian Journal of Plastic and Reconstructive Surgery and Hand Surgery	-0.424	0.5083	2	1294	3485
3877	College Teaching	-0.6716	-0.5442	1	1293	3283
3881	New Zealand Journal of Crop and Horticultural Science	0.5766	0.3871	3	1292	2972
3882	Integrative Biology	0.1796	0.72	6	1292	6949
3885	Current Pain and Headache Reports	-0.4515	0.3768	2	1290	5622
3886	Journal of Medical Screening	-0.406	0.4363	2	1289	5342
3887	Medicine Health Care and Philosophy	-0.5868	-0.234	1	1289	3083
3888	Journal of the Chemical Society Dalton Transactions	1.3365	0.3033	4	1288	9961
3891	Crime Law and Social Change	-0.5907	-0.4868	1	1288	3846
3892	Higher Education Quarterly	-0.6737	-0.5484	1	1288	3979
3893	Ethology Ecology & Evolution	0.5255	0.2708	3	1288	4469
3896	Social Science Information	-0.5714	-0.5572	1	1287	4573
3897	Development Genes and Evolution	0.4267	0.3757	3	1287	7901
3901	Palliative & Supportive Care	-0.601	-0.198	1	1285	3354
3904	Regional Environmental Change	0.2883	-0.1373	3	1285	5961
3905	Cartography and Geographic Information Science	0.1142	-0.3904	3	1284	4891
3907	Journal of Nonlinear Optical Physics & Materials	1.5006	-0.0684	4	1283	2038
3910	Hispanic Journal of Behavioral Sciences	-0.6492	-0.4116	1	1283	11766
3911	European Journal of General Practice	-0.5649	-0.1191	1	1283	2025
3912	Employee Relations	-0.5547	-0.6494	1	1282	6892
3913	Journal of Geographical Sciences	0.6159	-0.0349	3	1282	3911
3915	Clinical Trials	-0.4233	-0.1047	5	1281	6084
3919	New Forests	0.5903	0.2995	3	1281	5787
3920	Medicinal Research Reviews	0.112	0.6557	4	1280	13368
3921	BMC Biotechnology	0.472	0.5634	3	1280	9417
3923	Pigment Cell & Melanoma Research	-0.1298	0.7267	2	1280	7333
3924	The Journal of Real Estate Finance and Economics	-0.4482	-0.6832	1	1280	7776
3925	International Journal of Sociology and Social Policy	-0.5609	-0.5632	1	1279	3622
3929	The Journal of General Psychology	-0.7037	-0.4125	1	1279	4846
3931	Anthrozoos A Multidisciplinary Journal of The Interactions of People & Animals	-0.5771	-0.3833	1	1278	4005
3932	Reading and Writing	-0.7234	-0.4856	1	1278	12157
3934	Clinical Physiology and Functional Imaging	-0.3557	0.4648	2	1277	3867
3935	The European Journal of Contraception & Reproductive Health Care	-0.5602	-0.1654	1	1277	3925
3936	Sustainable Development	-0.4857	-0.6081	1	1276	4360
3937	International Journal of Clinical and Experimental Hypnosis	-0.6917	-0.2986	1	1276	6545
3939	Journal of the American Psychiatric Nurses Association	-0.6315	-0.2763	1	1275	1854
3940	Journal of Psychosomatic Obstetrics & Gynecology	-0.6092	-0.215	1	1275	6562
