id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>	score<Avg. pub. year>
30	abeta42 ratio	1.4238	-0.19	2	191	326	14	2011.5714
31	abnormal aggregation	-0.7312	0.1836	4	164	223	14	2008.8571
32	abnormal filament	-0.4752	0.5333	3	170	284	20	1995.9
33	abnormal hyperphosphorylation	-1.0546	-0.1043	4	541	1650	97	2006.7835
34	abnormal level	1.3757	0.0336	2	174	272	14	2011.5714
35	abnormal neurite	-0.4459	0.4625	3	152	242	19	1996.3684
36	abnormal phosphorylation	-1.0117	0.2485	4	640	1558	109	2001.4954
37	abnormal tau	-0.5557	0.4903	3	497	1024	64	2003.4375
38	abnormal tau phosphorylation	-0.9439	-0.0652	4	277	450	35	2006.2857
39	abnormal tau protein	-0.172	0.5567	3	230	381	29	1997.5862
40	absorption	-0.7101	0.4071	4	157	213	17	2003
41	abundant neurofibrillary tangle	-0.1324	0.5069	3	116	174	12	2000.1667
42	acad	-0.6435	0.253	4	124	154	10	2001.5
43	accuracy	1.2706	-0.2361	2	677	2759	127	2010.7244
44	accurate diagnosis	0.7177	-0.0259	2	231	374	24	2010.125
45	ace	0.2609	-0.2784	1	133	197	11	2008.4545
46	acetylation	-0.6234	-0.1879	1	186	239	18	2010.5556
47	acetylcholine	-0.1955	-0.3523	1	403	724	55	2006.8909
48	acetylcholinesterase	-0.1613	-0.3841	1	420	754	53	2008.4151
49	acetylcholinesterase inhibitor	-0.0359	-0.4043	1	329	563	45	2007.8222
50	ach	-0.2006	-0.3644	1	205	299	21	2009.1429
51	ache	-0.0884	-0.4112	1	374	664	44	2008.0909
52	achei	-0.0193	-0.4099	1	141	187	12	2010
53	acid form	1.0078	-0.3794	2	216	384	20	2006.25
54	acid residue	-0.992	0.2792	4	222	351	24	2002.4167
55	actin	-0.5345	0.0927	3	244	343	26	2004.3462
56	actin cytoskeleton	-0.5618	0.0652	1	94	124	11	2009.6364
57	activation	-0.6199	-0.3411	1	1570	8560	647	2009.1731
58	activator	-0.8594	-0.3144	1	538	1226	77	2006.6494
59	active form	-0.7587	-0.1061	1	234	342	22	2006.8182
60	active immunization	0.0093	-0.3561	1	175	312	24	2010.25
61	ad biomarker	1.1041	-0.1422	2	635	1859	100	2012.02
62	ad brain section	-0.1977	0.1873	4	149	247	19	2009.2105
63	ad brain tissue	-0.7324	0.2206	4	212	284	21	2010.0952
64	ad cortex	-0.6144	0.4345	4	106	131	11	2001.4545
65	ad dementia	1.1761	-0.164	2	438	1064	54	2012.3704
66	ad diagnosis	1.1903	-0.2468	2	501	1331	71	2010.4507
67	ad group	1.2266	-0.1418	2	620	1983	101	2007.4554
68	ad hippocampus	-0.5223	0.3461	3	226	344	25	2002.04
69	ad model	-0.4541	-0.3687	1	552	978	86	2012.4535
70	ad mouse	-0.3918	-0.4048	1	412	763	65	2012.2769
71	ad mouse model	-0.4362	-0.4186	1	467	823	71	2012.5352
72	ad neurodegeneration	-0.7253	-0.2946	1	107	137	13	2008.8462
73	ad neuron	-0.8115	-0.1213	1	234	302	23	2007.4783
74	ad p	-1.1474	0.2302	4	172	419	21	2001.0476
75	ad risk	0.9102	0.4288	2	366	785	51	2010.9608
76	ad sample	-0.6082	0.5015	4	191	242	15	2002.6667
77	ad subject	0.7704	-0.1319	2	688	1580	93	2010.4516
78	ad tau	-0.6482	0.6234	4	132	172	10	1998.2
79	ad therapeutic	-0.2237	-0.3531	1	175	206	17	2011.4118
80	ad therapy	-0.2394	-0.3826	1	286	409	40	2011.025
81	ad tissue	-0.6351	0.0796	4	127	149	14	2003.1429
82	ad transgenic mouse	-0.4238	-0.3908	1	209	290	21	2011.7619
83	ad transgenic mouse model	-0.5421	-0.3856	1	122	142	12	2011.6667
84	adas cog	0.859	-0.4888	2	222	434	21	2010.5714
85	adjustment	1.3095	0.1424	2	269	445	22	2010.5
86	administration	-0.3987	-0.4849	1	906	2462	187	2010.5775
87	adni	1.3694	0.1435	2	445	1709	70	2012.6571
88	adni cohort	1.3723	0.0526	2	173	272	11	2012.1818
89	adult brain	-0.9461	0.0777	4	317	537	36	2003.6389
90	adult human brain	-0.8334	0.4464	4	215	362	22	2004.3182
91	adult neurogenesis	-0.5388	-0.3344	1	105	137	14	2011.1429
92	advent	0.4383	-0.1159	2	215	271	18	2011.5
93	adverse effect	-0.2204	-0.4165	1	357	516	38	2010.1316
94	adverse event	0.2925	-0.4882	1	198	400	22	2009.4545
95	affected neuron	-1.0254	0.2243	4	303	579	36	2001.6667
96	affinity	-0.8456	0.2283	4	641	1503	99	2005.4545
97	agd	0.0143	0.5736	3	221	397	25	2006.16
98	age group	0.2631	0.0021	2	120	167	12	2008.5
99	age range	0.9456	0.1713	2	167	211	12	2006.4167
100	aged 3xtg ad mouse	-0.3386	-0.3735	1	126	154	14	2011.5714
101	aged control	-0.4317	0.4064	3	174	220	18	2000.6667
102	ages	-0.5127	-0.2196	1	189	320	27	2005.037
103	aggregated amyloid beta	-0.4314	-0.2159	1	101	108	11	2011.7273
104	aggregated protein	-0.6081	0.0166	4	194	250	22	2011.5
105	aggregated tau	-0.6724	0.1802	4	220	300	25	2011.32
106	aggregated tau protein	-0.5706	0.2543	4	119	138	14	2002.7857
107	aggregation process	-0.8708	0.1785	4	161	215	18	2009.5
108	agitation	0.3361	-0.0793	3	156	202	13	2008.8462
109	agonist	-0.2534	-0.396	1	426	781	58	2007.8276
110	aid	1.0422	-0.2877	2	302	577	33	2006.697
111	akt	-0.7036	-0.5062	1	420	1020	63	2011.2381
112	algorithm	1.0495	-0.0035	2	373	660	32	2010.4688
113	alkaline phosphatase	-0.9067	0.4597	4	306	636	40	1996.45
114	alkaline phosphatase treatment	-0.9178	0.4978	4	129	206	13	1993.2308
115	allele	0.8092	0.4158	2	905	3019	203	2005.5271
116	allele frequency	0.8164	0.5051	2	209	382	24	2004.4167
117	alpha secretase	-0.2458	-0.3529	1	174	243	17	2007.9412
118	alpha syn	0.3937	0.1701	3	204	273	17	2012.4706
119	alpha synuclein pathology	0.2709	0.4149	3	183	244	19	2010.6842
120	alpha synucleinopathy	-0.0812	0.4472	3	237	344	23	2008.3478
121	alpha7 nicotinic acetylcholine receptor	-0.4042	-0.3913	1	118	158	11	2011.7273
122	als	0.1998	0.4839	3	148	215	16	2007.5
123	alternative approach	-0.1479	-0.3912	1	117	131	12	2011.75
124	alternative splicing	-0.6652	0.2488	4	305	541	37	2008.4865
125	aluminum	-0.4777	0.1234	1	238	363	34	2000.8824
126	alz	-0.7666	0.519	4	367	845	56	1995.7321
127	alz50	-0.6657	0.384	4	145	208	15	2000.9333
128	alzheimer brain	-0.7486	0.479	4	500	1204	88	1997.5227
129	alzheimer brain tissue	-0.968	0.2719	4	140	191	11	1998.8182
130	alzheimer case	-0.5435	0.4521	3	119	154	11	2000.0909
131	alzheimer dementia	0.8086	0.0583	2	268	422	28	2007.4286
132	alzheimer disease biomarker	1.414	0.066	2	174	297	15	2012.5333
133	alzheimer disease brain	-0.8111	0.3001	4	390	773	50	2001.86
134	alzheimer disease pathology	0.5649	0.0376	2	290	406	28	2009.6786
135	alzheimer neurofibrillary degeneration	-1.1343	0.2039	4	165	312	17	2002.1765
136	alzheimer neurofibrillary tangle	-0.7466	0.5209	4	332	723	45	1993
137	alzheimer tau	-1.1506	0.2608	4	115	189	10	1995.8
138	alzheimer type dementia	0.1113	0.3497	3	263	363	28	1999.8571
139	alzheimer type pathology	0.2197	0.4471	3	317	502	39	2005.3333
140	amci	1.3549	0.0253	2	226	469	21	2011.5238
141	amelioration	-0.4023	-0.4204	1	229	324	26	2011.6154
142	amino acid sequence	-0.8505	0.4639	4	189	285	22	2000.8182
143	amino terminus	-0.8876	0.45	4	186	255	17	1997.0588
144	amino2 naphthylethylidene	0.9412	0.0268	2	124	213	10	2009.6
145	amnestic mci	1.1484	-0.0462	2	198	344	16	2011
146	amnestic mild cognitive impairment	1.2333	-0.0312	2	400	942	46	2011.3261
147	ampk	-0.6071	-0.5266	1	139	222	14	2012.5
148	amygdala	-0.0276	0.3823	3	613	1297	97	2003.5361
149	amyloid beta precursor protein	-0.3965	-0.2796	1	180	227	23	2010.1304
150	amyloid beta production	-0.5046	-0.483	1	203	263	22	2010.8182
151	amyloid beta42	1.2381	-0.2471	2	311	535	30	2012.4333
152	amyloid core	-0.3704	0.4345	3	220	309	21	1997.7619
153	amyloid imaging	1.0128	0.0049	2	416	886	45	2011.3556
154	amyloid load	0.927	0.05	2	437	784	47	2009.4468
155	amyloid pet	1.003	-0.0175	2	220	431	16	2013.875
156	amyloid plaque formation	-0.5189	-0.1037	1	140	172	18	2008.0556
157	amyloid precursor	-0.5792	-0.2018	1	99	104	11	2005.6364
158	amyloid precursor protein gene	0.1309	0.3353	3	156	195	18	2002.2222
159	amyloid substance	-0.1407	0.3759	3	108	156	14	1993.9286
160	amyloidogenic pathway	-0.4211	-0.246	1	165	202	14	2010.0714
161	amyloidogenic processing	-0.4122	-0.2932	1	199	257	21	2010.6667
162	amyloidogenic protein	-0.6731	0.1539	4	202	262	23	2008.6957
163	amyotrophic lateral sclerosis	0.0321	0.3848	3	631	1330	97	2008.3402
164	an1792	0.09	-0.3726	1	102	164	11	2011.5455
165	analyte	1.2066	-0.2682	2	326	725	31	2011.9677
166	anesthesia	-0.2238	-0.5225	1	253	419	32	2011.3438
167	anesthetic	-0.2251	-0.5212	1	115	186	16	2012.375
168	ant	-0.6921	0.3788	4	117	151	10	2005.8
169	antagonist	-0.2914	-0.3526	1	357	549	44	2010.5909
170	anti	-0.3625	0.3228	3	976	2808	198	2003.1465
171	anti abeta antibody	0.0577	-0.3606	1	206	324	22	2010.1364
172	anti inflammatory	-0.4227	-0.4555	1	110	141	16	2011.0625
173	anti inflammatory agent	0.0004	-0.4264	1	115	137	12	2005.75
174	anti inflammatory drug	-0.1339	-0.3987	1	170	227	21	2005.4762
175	anti inflammatory effect	-0.2325	-0.4296	1	147	176	12	2011.8333
176	anti tau	-0.1971	0.4361	3	247	389	28	1998.2143
177	anti tau antibody	-0.5016	0.4846	3	186	260	15	2000.8
178	antibody	-0.5071	0.3795	3	1586	10338	716	2001.5698
179	antioxidant	-0.1904	-0.4133	1	405	651	56	2007.3929
180	antioxidant activity	-0.4821	-0.459	1	104	125	12	2010.4167
181	antisera	-0.5518	0.5485	3	317	635	43	1992.7209
182	antiserum	-0.5791	0.5589	3	284	563	40	1992.8
183	apathy	0.4239	0.2062	3	196	255	12	2009.1667
184	aphasia	0.5302	0.4837	3	271	616	36	2009.0833
185	apoe	0.8869	0.3525	2	1180	5194	324	2007.2407
186	apoe allele	0.84	0.3566	2	126	171	12	2000.5833
187	apoe epsilon	0.8638	0.3489	2	277	450	26	2002.8077
188	apoe epsilon4	1.1105	0.328	2	270	477	26	2008.5
189	apoe epsilon4 allele	0.9699	0.3096	2	330	603	29	2008.4828
190	apoe epsilon4 carrier	1.1279	0.3053	2	215	385	20	2010.6
191	apoe gene	0.8026	0.4359	2	97	133	11	2010.0909
192	apoe genotype	1.189	0.2572	2	587	1650	88	2008.5568
193	apoe4 allele	0.8451	0.4169	2	171	238	14	2008.9286
194	apolipoprotein e	0.8182	0.3493	2	941	2868	187	2005.1016
195	apolipoprotein e epsilon	0.7431	0.4374	2	114	157	11	1997.9091
196	apolipoprotein e gene	0.8669	0.3752	2	155	223	14	2007
197	apolipoprotein e genotype	0.7478	0.4401	2	208	318	22	2000.4545
198	apoptosis	-0.6736	-0.2921	1	957	2790	217	2007.9032
199	apoptotic cell death	-0.8436	-0.2506	1	200	317	22	2007.4545
200	app expression	-0.4024	-0.2816	1	100	120	13	2007.9231
201	app gene	-0.0856	0.1536	3	128	142	14	2004.2857
202	app mouse	-0.4264	-0.355	1	141	168	16	2009.0625
203	app processing	-0.4472	-0.2867	1	446	794	67	2009.209
204	app ps1	-0.4278	-0.4073	1	230	312	25	2012.96
205	app ps1 mouse	-0.4495	-0.4379	1	272	457	42	2012.881
206	app ps1 transgenic mouse	-0.4985	-0.4995	1	215	333	23	2013.3478
207	appsw	-0.408	-0.3459	1	101	115	12	2008.5
208	appswe	-0.3823	-0.3939	1	249	347	21	2012.0952
209	apraxia	0.3814	0.4586	3	222	367	22	2006.5
210	arachidonic acid	-0.7798	0.0964	4	94	122	10	2005.1
211	areas covered	-0.0725	-0.3044	1	113	141	13	2013.3077
212	argyrophilic grain	0.0245	0.5521	3	210	392	25	2004.16
213	argyrophilic grain disease	0.0293	0.5678	3	443	999	58	2006.2586
214	art	0.8525	-0.3331	2	173	250	14	2009.1429
215	asp	-0.7321	0.2074	4	136	177	14	2005.9286
216	assembly	-0.8986	0.2187	4	873	2923	205	2004.8195
217	assessment	0.7984	-0.0657	2	1054	3735	213	2009.2958
218	association analysis	0.8436	0.5094	2	153	266	16	2009.3125
219	association study	0.876	0.4751	2	217	431	28	2007.6429
220	astrocytic plaque	0.0385	0.5468	3	174	301	14	2003.4286
221	astrogliosis	-0.3676	-0.3201	1	286	399	33	2008.6061
222	at100	-0.8013	0.1576	4	161	230	13	2006.4615
223	at180	-0.4116	0.382	3	165	234	13	2004.6923
224	at8	-0.4609	0.3347	3	585	1286	80	2005.5
225	at8 antibody	-0.2889	0.4365	3	101	132	10	2002.8
226	atomic force microscopy	-0.774	0.2255	4	86	111	10	2006.5
227	atp	-0.7639	-0.0322	4	291	458	41	2006.2927
228	atrophy	0.7136	0.3007	3	956	3327	187	2009.3957
229	atrophy rate	1.4354	0.1122	2	214	492	21	2011.4286
230	attenuation	-0.5703	-0.4268	1	347	567	42	2011.119
231	auc	1.4615	-0.2639	2	270	595	25	2012.6
232	autophagosome	-0.5654	-0.0458	1	100	128	11	2012.3636
233	autophagy	-0.5382	-0.0722	1	472	858	80	2011.3625
234	autopsy	0.5193	0.3428	3	854	2288	137	2006.4745
235	autopsy brain	0.2235	0.3821	3	134	175	15	2002
236	autopsy case	0.1458	0.4615	3	319	573	41	2004.9268
237	autopsy series	0.4555	0.4144	3	175	231	15	2006.2
238	autoradiography	-0.1095	0.0768	4	146	238	16	2011.5625
239	average	0.7436	0.1344	2	298	447	25	2007.2
240	axon	-0.5229	0.2736	3	770	1904	149	2004.302
241	axonal degeneration	0.8279	-0.2896	2	300	515	33	2008.1818
242	axonal microtubule	-0.8754	0.0644	4	190	255	18	2004.6111
243	axonal transport	-0.7238	-0.0595	1	535	1086	95	2008.4842
244	bace	-0.2243	-0.324	1	260	404	30	2010.4
245	bace1 activity	0.8337	-0.5015	2	147	238	15	2011.1333
246	background aims	1.1208	0.2216	2	227	364	23	2010.5217
247	band	-0.4587	0.5631	3	561	1203	75	1999.8267
248	bapineuzumab	0.1389	-0.3983	1	130	207	13	2012.6154
249	basal ganglia	0.1603	0.4801	3	171	214	15	2005.0667
250	basal ganglium	0.1438	0.5113	3	233	344	22	2006.2273
251	basal nucleus	-0.1302	0.414	3	109	144	11	2001.8182
252	baseline	1.3464	-0.1332	2	716	3307	149	2010.4631
253	baseline csf	1.5091	0.0856	2	159	270	11	2010.8182
254	basic research	-0.0591	-0.3079	1	86	102	10	2010.7
255	battery	0.5777	-0.2198	2	495	872	44	2009.9091
256	bax	-0.7518	-0.4079	1	168	279	18	2010.3889
257	bcl	-0.7539	-0.401	1	236	407	27	2009.2593
258	bdnf	-0.4932	-0.3564	1	366	569	42	2011.2857
259	behavioral deficit	-0.4123	-0.367	1	411	640	54	2010.7778
260	behavioral impairment	-0.4355	-0.4007	1	141	178	19	2010.1579
261	behavioral performance	-0.3053	-0.4859	1	132	162	13	2011.3846
262	behavioral test	-0.3744	-0.4614	1	198	288	22	2013.4091
263	behavioral variant frontotemporal dementia	0.4725	0.4406	3	145	213	13	2013.1538
264	behavioural	0.3234	-0.1538	3	215	272	15	2009.3333
265	beneficial effect	-0.335	-0.4607	1	544	965	85	2010.2235
266	beta a4	-0.1371	0.3897	3	128	170	15	1994.1333
267	beta amyloid aggregation	0.1724	-0.4612	1	106	124	10	2012.3
268	beta amyloid formation	0.0251	-0.3825	1	73	91	10	2007.9
269	beta amyloid production	-0.4657	-0.2823	1	190	233	19	2008.9474
270	beta app	-0.2456	0.1787	3	119	148	16	1996.5625
271	beta catenin	-0.7532	-0.3814	1	167	259	20	2009
272	beta deposit	-0.1497	0.3324	3	226	331	34	2004.2353
273	beta protein	-0.0756	-0.0789	1	934	2058	179	2004.933
274	beta secretase inhibitor	-0.0281	-0.3743	1	142	184	12	2008.8333
275	beta sheet	-0.8572	0.2624	4	173	251	19	2006.3684
276	beta sheet structure	-0.8873	0.2863	4	142	218	14	2006.4286
277	beta site amyloid precursor protein	0.0288	-0.591	1	149	211	13	2011.9231
278	beta structure	-0.9339	0.2697	4	154	329	21	2005.8095
279	bielschowsky	-0.1509	0.4561	3	155	218	16	1997.375
280	bin1	0.7933	0.4322	2	106	138	10	2013.8
281	bind	-0.7458	0.2419	4	930	2576	181	2005.2762
282	bind microtubule	-1.054	0.008	4	105	148	10	2003
283	binding affinity	-0.305	0.1565	4	231	349	26	2010.2692
284	binding site	-0.9353	0.1457	4	499	921	63	2005.3492
285	biochemical marker	0.9365	-0.2745	2	457	1043	62	2002.9839
286	biochemical property	-0.819	0.4723	4	178	237	13	2001.3846
287	biological activity	-0.3826	-0.1886	1	344	530	34	2008.2941
288	biological function	-0.8203	0.0152	4	227	322	23	2008.2174
289	biological marker	0.8949	-0.2915	2	550	1499	96	2005.5
290	biomarker	1.117	-0.197	2	1428	16355	894	2011.1633
291	biomarker candidate	1.1841	-0.376	2	224	413	17	2008.8235
292	biomarker change	1.2041	-0.0477	2	269	550	24	2012.6667
293	biomarker level	1.2931	0.0833	2	397	871	39	2012.3846
294	biomarker profile	1.3863	0.0713	2	267	563	27	2011.7407
295	biomarker study	1.0996	-0.1053	2	234	391	22	2012.4545
296	biopsy	-0.0004	0.1858	3	346	608	37	2000.7838
297	blockade	-0.3058	-0.3081	1	217	273	22	2009.5
298	blood	0.5955	-0.3287	2	676	1506	102	2010.2647
299	blood pressure	0.4641	-0.3472	2	162	209	14	2013.3571
300	blood vessel	-0.2026	0.3789	3	267	384	33	2004.697
301	body mass index	1.3985	0.0924	2	154	260	13	2011.9231
302	body weight	-0.3824	-0.5307	1	152	200	14	2012
303	bovine brain	-0.9008	0.5016	4	138	212	12	1994.4167
304	bovine tau	-0.9205	0.4671	4	187	335	17	1995.6471
305	box	1.2246	0.0756	2	319	574	26	2011.3846
306	braak staging	0.267	0.3169	3	196	265	20	2007.75
307	brain atrophy	1.0359	0.111	2	578	1527	84	2010.7262
308	brain change	1.0512	0.0276	2	280	465	27	2011.4815
309	brain development	-0.7868	-0.1241	1	160	215	18	2006.5
310	brain extract	-0.6965	0.0893	4	320	440	30	2005.4667
311	brain homogenate	-0.6701	0.4753	4	441	842	54	2001.8704
312	brain imaging	0.8957	-0.156	2	402	718	36	2010.2778
313	brain insulin	-0.4488	-0.5751	1	136	249	16	2012.625
314	brain insulin resistance	-0.4174	-0.5757	1	172	256	17	2012.5294
315	brain metabolism	0.5494	-0.3265	2	180	223	16	2011.0625
316	brain section	-0.4891	0.3921	4	366	615	44	2005.1364
317	brain slice	-0.9238	-0.2792	1	332	580	36	2008.5278
318	brain stem	-0.0091	0.442	3	164	206	15	2001.5333
319	brain structure	0.8312	0.015	2	356	561	30	2009.8667
320	brain volume	1.2593	0.0928	2	246	464	20	2011.4
321	brainstem	0.0616	0.4456	3	420	759	53	2005.9434
322	brainstem nuclei	-0.001	0.3892	3	141	173	13	2009.1538
323	breakdown	-0.882	-0.0304	4	296	481	34	2005.2353
324	brodmann area	0.0807	0.4322	3	152	193	14	2002.7857
325	buche	-0.095	-0.4222	1	160	250	15	2008.5333
326	buildup	-0.5092	-0.1218	1	158	192	19	2011.1579
327	bundle	-0.5715	0.4207	3	365	674	45	2000.0889
328	butyrylcholinesterase	-0.1231	-0.4221	1	260	428	29	2010.0345
329	bvftd	0.6664	0.4137	3	189	314	15	2013.1333
330	c elegan	-0.5724	-0.0734	1	95	112	11	2009.1818
331	c jun n terminal kinase	-0.7624	-0.345	1	308	559	31	2008.3226
332	c pib	0.9742	0.0375	2	157	239	10	2012.3
333	c terminal domain	-0.9662	0.2422	4	159	216	13	2003.3077
334	c terminal fragment	-0.4696	0.0072	1	276	431	35	2007.5143
335	c terminal truncation	-0.8809	0.225	4	124	175	10	2006.7
336	c termini	-0.8084	0.2733	4	187	256	18	2004.7778
337	c terminus	-0.846	0.2899	4	353	673	49	2005
338	c57bl	-0.3924	-0.5226	1	112	133	12	2011.9167
339	c9orf72	0.4721	0.4949	3	131	198	10	2013.3
340	ca1	-0.353	0.208	3	451	813	64	2007.125
341	ca1 neuron	-0.4282	-0.1021	1	158	204	15	2009.5333
342	ca2	-0.3278	0.2973	3	283	410	26	2003.7308
343	ca3	-0.4103	0.0161	1	142	193	16	2006.875
344	ca4	-0.3373	0.2881	3	155	218	14	2005.5
345	calcineurin	-0.9917	-0.0967	4	239	397	32	2005.2812
346	calcium homeostasis	-0.4761	-0.2401	1	224	312	33	2008.5455
347	calpain	-0.8034	-0.2946	1	417	885	63	2008.5079
348	calpain activation	-0.7847	-0.2484	1	184	275	17	2008.8235
349	camkii	-0.9323	-0.2544	1	162	245	12	2009.5833
350	candidate biomarker	1.0089	-0.3289	2	260	451	22	2011.8636
351	candidate gene	0.7271	0.4841	2	207	333	22	2007.4091
352	carbon	0.6835	0.1214	2	189	260	14	2006.5714
353	cardinal feature	-0.2823	-0.0577	1	142	160	15	2009.6
354	caregiver	0.3563	-0.3561	1	170	223	14	2009.1429
355	carrier	0.9597	0.2357	2	743	2369	126	2010.7302
356	case control study	0.8762	0.4424	2	331	685	40	2009.775
357	case report	0.3301	0.3621	3	186	254	17	2007.4706
358	casein kinase	-0.7462	0.2745	4	195	291	18	2004.2778
359	caspase	-0.6843	-0.2285	1	786	2140	146	2008.9863
360	caspase activation	-0.7145	-0.1898	1	117	166	16	2008.5
361	caspase cleavage	-0.823	-0.0029	4	143	212	16	2008.4375
362	catalytic subunit	-0.9694	-0.2154	1	267	503	32	2007.5625
363	caudate	0.6019	0.3912	3	169	207	12	2007.5833
364	caudate nucleus	0.1297	0.4874	3	150	189	12	2004.1667
365	causative gene	0.1047	0.403	3	81	93	11	2003.5455
366	cbd	0.0581	0.5634	3	598	1519	81	2005.6296
367	cbs	0.4859	0.4562	3	112	217	11	2012.7273
368	cdc2	-1.0966	0.1803	4	227	392	22	1999.0455
369	cdk	-0.8891	-0.3078	1	172	261	15	2004.2667
370	cdk5	-0.9157	-0.2524	1	548	1413	89	2008.1348
371	cdna	-0.8746	0.4103	4	176	250	23	1996.3913
372	cdr	1.2636	0.0397	2	331	687	30	2008.5
373	cell biology	-0.7161	0.0183	4	72	79	13	2005.5385
374	cell body	-0.3466	0.4077	3	417	813	60	2001.7833
375	cell culture	-0.6335	-0.1616	1	451	697	52	2008.9423
376	cell cycle	-0.7407	-0.1123	1	357	644	63	2006
377	cell cycle progression	-0.6517	-0.0343	1	127	162	11	2006.4545
378	cell cycle re entry	-0.5741	-0.236	1	93	123	16	2008.8125
379	cell cycle regulation	-0.9521	-0.0374	4	90	124	12	2006
380	cell line	-0.8035	-0.1785	1	530	1018	75	2006.32
381	cell model	-0.7805	-0.0814	1	416	708	55	2008.4727
382	cell proliferation	-0.5853	-0.2647	1	127	155	13	2007.5385
383	cell surface	-0.5725	0.0842	1	144	173	14	2007.6429
384	cell survival	-0.7074	-0.2835	1	318	458	38	2008.5263
385	cell viability	-0.8379	-0.2673	1	237	398	26	2011.1538
386	cells	-0.6222	-0.0107	1	156	179	12	2004.1667
387	cellular localization	-0.4653	0.0714	1	94	108	10	2003.5
388	cellular model	-0.7228	-0.1769	1	336	505	41	2008.4878
389	cellular response	-0.6755	-0.1787	1	154	195	14	2007.7143
390	center	0.9459	-0.0689	2	784	2091	113	2008.9027
391	cerad	0.65	0.2626	3	208	330	19	2006.2632
392	cerad criterium	0.1752	0.4093	3	133	178	11	2000.3636
393	cerebellar cortex	-0.0223	0.4553	3	140	166	15	2000.0667
394	cerebral atrophy	0.9242	0.2311	2	242	358	17	2008.0588
395	cerebral blood flow	0.558	-0.2592	2	293	488	33	2008.4848
396	cerebral blood vessel	-0.3943	0.1537	4	83	91	10	2004.1
397	cerebral glucose metabolism	0.9074	0.011	2	294	508	30	2008.5
398	cerebral ischemia	-0.2895	-0.3726	1	142	194	19	2008.3158
399	cerebral spinal fluid	1.2272	0.1396	2	264	383	20	2010.85
400	cerebrospinal fluid	1.1577	-0.2184	2	1503	19890	1088	2009.5404
401	cerebrospinal fluid amyloid beta	1.4164	-0.0217	2	161	225	13	2010.7692
402	cerebrospinal fluid beta	1.0832	-0.0775	2	184	267	15	2009.1333
403	cerebrospinal fluid biomarker	1.271	-0.0722	2	706	2982	157	2011.7261
404	cerebrospinal fluid level	1.1301	-0.1791	2	480	1161	65	2009.2923
405	cerebrospinal fluid marker	1.1714	0.0133	2	330	668	33	2009.9697
406	cerebrospinal fluid sample	1.0766	-0.1997	2	156	222	13	2009.6923
407	cerebrospinal fluid tau	1.2545	-0.0118	2	365	744	41	2005.878
408	cerebrovascular disease	0.6375	-0.1094	2	281	473	39	2006.6154
409	cerebrum	0.1443	0.4801	3	197	261	16	2002.4375
410	certainty	1.0428	-0.236	2	171	258	13	2008.2308
411	chaperone	-0.7005	-0.0169	4	230	357	32	2010.25
412	characteristic curve	1.4139	-0.1036	2	219	388	12	2012.5833
413	characteristic lesion	-0.1957	0.4655	3	166	195	13	2000.5385
414	chat	-0.2536	-0.257	1	148	192	17	2009.9412
415	chem	-0.7524	0.1056	4	187	270	17	2000.7647
