id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Documents>	weight<Citations>	weight<Norm. citations>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
138	"de sompel, hv"	0.2881	-0.5114	6	2	2	1	6	0.153	2007	6	0.153
139	"debackere, k"	-0.4662	-0.12	7	3	3	1	4	0.1722	2008	4	0.1722
142	"di, zr"	-0.229	0.1216	5	9	9	1	1	1.4516	2016	1	1.4516
143	"diaz-faes, aa"	-0.3757	-0.3709	18	5	6	2	5	2.8169	2015	2.5	1.4085
144	"didegah, f"	0.3919	-0.0311	13	2	3	2	39	4.8881	2012.5	19.5	2.444
147	"ding, jl"	-0.2664	-0.0165	5	4	4	1	0	0	2016	0	0
148	"ding, y"	0.4426	-0.3573	6	24	31	11	154	14.2719	2012.8182	14	1.2974
149	"dinga, y"	0.4419	-0.1225	3	4	4	1	1	0.2515	2014	1	0.2515
153	"dong, hr"	0.1001	0.2713	11	2	2	1	4	0.3799	2012	4	0.3799
160	"egghe, l"	-0.0539	-0.1375	15	3	3	14	86	4.9091	2010.3571	6.1429	0.3506
162	"engels, tce"	0.0081	-0.0474	15	4	4	2	4	1.0061	2014.5	2	0.5031
165	"ettl, c"	0.1119	-0.2675	12	3	3	1	22	1.1137	2011	22	1.1137
166	"fairclough, r"	0.4444	-0.0394	13	1	4	4	22	12.3944	2015	5.5	3.0986
170	"fang, h"	0.3779	-0.2985	3	1	1	1	7	0.6649	2012	7	0.6649
171	"fdez-valdivia, j"	-0.3243	0.4484	19	4	4	1	11	1.4394	2013	11	1.4394
174	"ferrara, e"	-0.219	-0.3004	9	4	4	1	1	0.5634	2015	1	0.5634
178	"flammini, a"	-0.2312	-0.2741	9	4	4	1	1	0.5634	2015	1	0.5634
182	"fox, g"	0.347	-0.5477	6	2	2	1	1	0.0506	2011	1	0.0506
192	"galindo, mp"	-0.3615	-0.3387	18	3	3	1	0	0	2015	0	0
196	"garcia, ja"	-0.3245	0.4218	19	4	4	1	11	1.4394	2013	11	1.4394
199	"garcia-zorita, c"	-0.2925	0.0472	24	2	2	1	9	1.1777	2013	9	1.1777
202	"gazni, a"	0.3695	-0.0202	13	2	2	1	6	0.5699	2012	6	0.5699
206	"gingras, y"	0.5779	-0.1299	3	2	3	2	72	2.7249	2010	36	1.3625
208	"glanzel, w"	-0.5208	-0.0182	7	9	12	8	230	7.6126	2009.25	28.75	0.9516
214	"gomez-nunez, aj"	-0.4204	0.1799	2	4	4	1	4	1.0061	2014	4	1.0061
216	"gonzalez-albo, b"	-0.4187	-0.3847	18	3	4	2	15	3.3231	2013	7.5	1.6616
217	"gonzalez-pereira, b"	-0.4954	0.1052	2	2	2	1	115	5.2647	2010	115	5.2647
223	"guerrero-bote, vp"	-0.4943	0.1293	2	2	3	2	147	8.304	2011	73.5	4.152
227	"guns, r"	-0.0016	-0.104	15	7	11	6	58	4.997	2012.5	9.6667	0.8328
228	"guo, c"	0.4375	-0.2856	3	3	3	1	13	1.7011	2013	13	1.7011
231	"gurney, t"	-0.1081	-0.443	16	6	6	1	2	0.5031	2014	2	0.5031
235	"halevi, g"	-0.249	0.3262	2	2	2	1	0	0	2016	0	0
240	"hardy, e"	0.2859	0.174	1	4	4	1	2	0.051	2007	2	0.051
242	"haunschild, r"	-0.0269	-0.3277	8	1	2	2	5	4.5934	2015.5	2.5	2.2967
244	"he, b"	0.3265	-0.3845	6	5	6	2	22	2.3407	2012.5	11	1.1703
250	"heo, ge"	0.579	-0.2993	4	5	6	2	0	0	2015.5	0	0
251	"herr, b"	0.2718	0.1496	1	4	4	1	2	0.051	2007	2	0.051
252	"herranz, n"	-0.3374	-0.15	9	1	1	1	11	1.0448	2012	11	1.0448
256	"hicks, d"	0.1174	-0.3619	23	1	1	1	2	1.1268	2015	2	1.1268
260	"holloway, t"	0.3113	0.1579	1	4	4	1	2	0.051	2007	2	0.051
262	"horlings, e"	-0.1448	-0.4858	16	6	6	1	2	0.5031	2014	2	0.5031
264	"hossain, l"	0.0889	-0.4789	17	5	6	3	122	8.9365	2012	40.6667	2.9788
266	"hsieh, hc"	0.0469	0.3249	11	3	3	1	11	0.5568	2011	11	0.5568
268	"hu, xj"	-0.1182	-0.0567	25	2	5	3	18	0.9112	2011.6667	6	0.3037
271	"hua, wn"	0.2439	-0.3709	20	3	3	1	0	0	2015	0	0
274	"huang, mh"	0.1327	0.3403	11	13	26	12	79	7.5908	2012.6667	6.5833	0.6326
275	"huang, wt"	0.1486	0.3948	11	2	2	1	1	0.2515	2014	1	0.2515
278	"hug, se"	-0.0912	-0.2348	8	3	3	1	66	3.3411	2011	66	3.3411
283	"jaafari, a"	0.1486	-0.4569	17	1	1	1	6	0.7851	2013	6	0.7851
289	"janssens, f"	-0.4673	-0.0819	7	7	7	2	30	1.3624	2009	15	0.6812
296	"jensen, s"	0.3731	-0.2295	3	3	3	1	0	0	2016	0	0
297	"jeong, dh"	0.6578	-0.3958	4	1	1	1	3	0.7546	2014	3	0.7546
298	"jeong, yk"	0.6025	-0.3243	4	5	6	2	12	3.0184	2015	6	1.5092
301	"jin, yd"	-0.0333	0.245	14	3	3	1	3	0.7546	2014	3	0.7546
303	"kaiser, di"	-0.2535	-0.3751	9	2	2	1	37	1.2308	2009	37	1.2308
306	"kang, ky"	0.6295	-0.3017	4	4	4	1	0	0	2016	0	0
310	"kaur, j"	-0.2438	-0.3339	9	6	8	3	54	3.8879	2012.3333	18	1.296
313	"ken, y"	0.299	0.325	21	3	3	1	5	0.4749	2012	5	0.4749
315	"keyton, j"	0.2566	0.0491	1	7	7	1	112	5.6697	2011	112	5.6697
318	"kim, co"	0.7133	-0.3689	4	3	3	1	0	0	2016	0	0
319	"kim, ehj"	0.6358	-0.447	4	2	2	1	0	0	2015	0	0
320	"kim, h"	0.7405	-0.3397	4	5	5	2	5	0.4749	2014	2.5	0.2374
321	"kim, hj"	0.6137	-0.443	4	2	2	1	0	0	2015	0	0
323	"kiss, iz"	0.1297	-0.0345	1	3	3	1	26	1.1903	2010	26	1.1903
324	"klavans, r"	0.149	0.1389	1	4	7	4	25	2.5354	2012.5	6.25	0.6339
325	"klein, jt"	0.2235	0.039	1	7	7	1	112	5.6697	2011	112	5.6697
333	"kousha, k"	0.5142	0.0626	13	2	2	1	30	1.3734	2010	30	1.3734
338	"kuan, ch"	0.1825	0.3634	11	2	6	3	24	1.2952	2011.6667	8	0.4317
343	"lachance, c"	0.545	-0.1781	3	1	1	1	2	0.5031	2014	2	0.5031
348	"lariviere, v"	0.5281	-0.144	3	11	13	6	83	4.5264	2012.6667	13.8333	0.7544
349	"laurens, p"	-0.1399	-0.4529	16	6	6	1	2	0.5031	2014	2	0.5031
353	"leemans, h"	-0.5651	-0.0486	7	3	3	1	19	0.4845	2007	19	0.4845
358	"levene, m"	-0.1938	0.3509	2	2	2	1	41	1.0454	2007	41	1.0454
359	"levitt, jm"	0.4695	0.0345	13	1	1	1	5	0.6543	2013	5	0.6543
360	"leydesdorff, l"	0.1694	-0.2143	12	23	37	23	613	46.732	2012.1304	26.6522	2.0318
361	"li, df"	0.4122	-0.4972	6	7	7	1	7	0.6649	2012	7	0.6649
363	"li, j"	-0.0266	0.193	14	6	6	2	11	2.7669	2014	5.5	1.3834
366	"li, mh"	-0.1515	0.1554	5	9	9	1	1	1.4516	2016	1	1.4516
367	"li, wyz"	-0.0459	0.2224	14	3	3	1	3	0.7546	2014	3	0.7546
369	"li, yr"	-0.3207	-0.222	9	3	4	2	22	2.8788	2013	11	1.4394
370	"liang, l"	-0.1786	-0.1472	22	3	3	2	17	1.3367	2009.5	8.5	0.6684
371	"liang, lm"	-0.404	-0.0338	7	6	7	3	27	1.2361	2011.6667	9	0.412
374	"lin, a"	-0.1885	0.3298	2	2	2	1	41	1.0454	2007	41	1.0454
375	"lin, cp"	0.0573	0.3	11	3	3	1	11	0.5568	2011	11	0.5568
376	"lin, cs"	0.0842	0.3576	11	2	2	1	10	1.3085	2013	10	1.3085
378	"litvak, n"	-0.476	-0.2675	10	2	2	1	4	2.2535	2015	4	2.2535
381	"liu, jh"	0.5414	-0.4162	4	5	5	1	0	0	2015	0	0
382	"liu, jq"	-0.0679	0.0684	14	3	3	1	4	0.5234	2013	4	0.5234
385	"liu, wb"	-0.1947	-0.0401	5	4	5	2	3	0.7546	2014.5	1.5	0.3773
388	"liu, xh"	-0.4468	-0.0445	7	4	4	1	26	1.1903	2010	26	1.1903
389	"liu, xz"	0.39	-0.2706	3	7	7	3	20	2.366	2013.6667	6.6667	0.7887
391	"liu, yx"	-0.0486	-0.0172	15	3	7	4	33	2.3825	2011.5	8.25	0.5956
395	"lopez-illescas, c"	-0.3009	0.2812	2	3	5	2	53	2.3872	2009.5	26.5	1.1936
400	"lucio-arias, d"	0.2137	-0.1913	12	1	1	1	27	0.8982	2009	27	0.8982
423	"marx, w"	0.0692	-0.2053	8	7	17	7	110	11.6617	2013	15.7143	1.666
433	"menczer, f"	-0.2591	-0.2988	9	4	6	2	17	2.657	2014	8.5	1.3285
437	"milojevic, s"	0.3829	-0.1834	3	12	13	6	38	4.8942	2014	6.3333	0.8157
441	"moed, hf"	-0.2865	0.3186	2	6	8	5	258	11.3716	2010.8	51.6	2.2743
447	"moya-anegon, f"	-0.4511	0.1229	2	8	11	4	159	9.5763	2011.25	39.75	2.3941
452	"murshed, st"	0.0829	-0.5159	17	2	2	1	4	0.5234	2013	4	0.5234
455	"mutz, r"	-0.0758	-0.2813	8	6	20	9	218	14.1527	2011	24.2222	1.5725
459	"ni, cq"	0.4906	-0.198	3	3	3	1	8	1.0468	2013	8	1.0468
464	"noyons, ecm"	-0.6561	-0.2572	10	3	3	2	98	4.4288	2009	49	2.2144
469	"olmeda-gomez, c"	-0.3887	0.1039	2	4	4	1	8	0.2661	2009	8	0.2661
472	"opthof, t"	0.1303	-0.1449	12	1	1	1	88	4.0286	2010	88	4.0286
476	"ortuno, i"	-0.3877	-0.2085	9	2	4	2	38	1.9237	2011	19	0.9618
481	"ozimek, a"	0.0387	-0.3313	8	1	1	1	3	0.2849	2012	3	0.2849
484	"paley, wb"	0.2982	0.1327	1	4	4	1	2	0.051	2007	2	0.051
486	"pan, xl"	0.2157	-0.3605	20	3	3	1	0	0	2015	0	0
489	"pardo, d"	-0.1107	-0.4729	16	6	6	1	2	0.5031	2014	2	0.5031
490	"park, hw"	0.1734	-0.2659	12	1	1	1	12	1.5702	2013	12	1.5702
493	"patek, m"	0.0963	0.1346	1	4	4	1	2	0.5031	2014	2	0.5031
494	"pei, js"	-0.1944	0.1098	5	9	9	1	1	1.4516	2016	1	1.4516
498	"pepe, a"	0.2562	-0.556	6	1	1	1	22	0.9468	2008	22	0.9468
501	"perianes-rodriguez, a"	-0.3936	0.0659	2	5	5	2	10	1.3929	2012	5	0.6964
512	"prabowo, r"	0.4381	0.0721	13	2	4	3	109	3.6067	2008	36.3333	1.2022
517	"proot, g"	-0.0748	-0.1399	15	1	1	1	3	0.0765	2007	3	0.0765
521	"qiao, l"	-0.015	0.2256	14	3	3	1	3	0.7546	2014	3	0.7546
523	"quirin, a"	-0.34	0.2087	2	3	3	1	8	0.3662	2010	8	0.3662
524	"radicchi, f"	-0.2732	-0.2604	9	7	10	4	77	9.0733	2013.25	19.25	2.2683
525	"rafols, i"	0.1797	0.0067	1	11	12	4	215	11.9112	2011	53.75	2.9778
526	"rahm, e"	0.0229	-0.2202	8	5	5	1	50	1.6633	2009	50	1.6633
527	"rahman, aimj"	-0.0216	-0.0646	15	3	3	1	0	0	2015	0	0
536	"reguramalingam, v"	0.3379	-0.4213	6	4	4	1	7	0.916	2013	7	0.916
538	"rezaie, s"	0.5269	0.0446	13	2	2	1	30	1.3734	2010	30	1.3734
540	"robinson-garcia, n"	-0.2968	0.4524	19	4	4	1	11	1.4394	2013	11	1.4394
541	"rocha, g"	0.4489	-0.4569	6	7	7	1	7	0.6649	2012	7	0.6649
543	"rodriguez, ma"	0.2603	-0.5312	6	4	4	3	37	1.5118	2008.3333	12.3333	0.5039
544	"rodriguez, v"	-0.4878	-0.1348	7	3	3	1	4	0.1722	2008	4	0.1722
545	"rodriguez-sanchez, r"	-0.2879	0.4268	19	4	4	1	11	1.4394	2013	11	1.4394
546	"roessner, jd"	0.194	0.0567	1	7	7	1	112	5.6697	2011	112	5.6697
552	"rousseau, r"	-0.1592	0.0064	5	30	51	27	202	13.2377	2011.8889	7.4815	0.4903
553	"ruiz-castillo, j"	-0.3516	-0.1817	9	9	12	8	93	15.1231	2013	11.625	1.8904
560	"sandstrom, u"	-0.0332	-0.4517	16	1	1	1	2	1.1268	2015	2	1.1268
563	"sanz-casado, e"	-0.2708	0.0517	24	2	2	1	9	1.1777	2013	9	1.1777
567	"schier, h"	-0.0027	-0.1916	8	5	8	2	82	4.7027	2010.5	41	2.3513
571	"schoen, a"	-0.1182	-0.5069	16	6	6	1	2	0.5031	2014	2	0.5031
574	"schubert, a"	-0.5407	0.0175	7	1	2	3	112	3.3857	2009.6667	37.3333	1.1286
581	"shen, zs"	-0.1928	0.1471	5	9	9	1	1	1.4516	2016	1	1.4516
582	"shi, db"	-0.0115	0.1535	14	3	3	1	8	2.0123	2014	8	2.0123
584	"shinavier, j"	0.2363	-0.5204	6	1	1	1	9	0.412	2010	9	0.412
585	"shuai, x"	0.4468	-0.4912	6	7	7	1	7	0.6649	2012	7	0.6649
591	"singhal, pr"	0.369	-0.5496	6	2	2	1	1	0.0506	2011	1	0.0506
604	"song, m"	0.6223	-0.3745	4	15	19	7	15	3.773	2015	2.1429	0.539
605	"song, sj"	0.5281	-0.3654	4	5	5	1	0	0	2015	0	0
612	"stefaner, m"	-0.093	-0.3344	8	3	6	2	7	1.7607	2015	3.5	0.8804
613	"stegehuis, c"	-0.476	-0.2454	10	2	2	1	4	2.2535	2015	4	2.2535
620	"sud, p"	0.4916	-0.0144	13	1	3	3	14	2.9995	2014	4.6667	0.9998
621	"sugimoto, cr"	0.4545	-0.1691	3	8	10	3	28	3.103	2013	9.3333	1.0343
622	"sumikura, k"	-0.0875	-0.4924	16	6	6	1	2	0.5031	2014	2	0.5031
623	"sung, hy"	0.15	0.2563	11	3	3	1	1	0.5634	2015	1	0.5634
627	"tang, j"	0.3801	-0.4313	6	9	11	2	14	1.5808	2012.5	7	0.7904
631	"thelwall, m"	0.4439	0.0065	13	14	23	21	254	43.1205	2013.3333	12.0952	2.0534
632	"thijs, b"	-0.4868	0.0134	7	2	2	1	17	0.8606	2011	17	0.8606
635	"thor, a"	0.0383	-0.1746	8	6	8	2	50	1.6633	2012.5	25	0.8317
637	"tijssen, rjw"	-0.5929	-0.2351	10	2	2	1	18	0.9112	2011	18	0.9112
641	"torres-salinas, d"	-0.3026	0.4005	19	5	5	2	43	2.5039	2011	21.5	1.252
649	"uddin, s"	0.0631	-0.5054	17	2	2	1	4	0.5234	2013	4	0.5234
650	"ungar, lh"	0.1191	0.1159	1	4	4	1	2	0.5031	2014	2	0.5031
652	"van den besselaar, p"	-0.067	-0.4535	16	9	9	4	45	3.7036	2012.75	11.25	0.9259
653	"van eck, nj"	-0.5857	-0.288	10	7	23	12	420	29.6005	2011.25	35	2.4667
654	"van leeuwen, tn"	-0.6109	-0.3305	10	4	11	3	214	12.7137	2011.3333	71.3333	4.2379
655	"van raan, afj"	-0.5942	-0.375	10	5	9	3	198	9.7375	2010.6667	66	3.2458
661	"vargas-quesada, b"	-0.3806	0.1658	2	9	11	3	20	1.6385	2011	6.6667	0.5462
664	"verleysen, ft"	0.0298	-0.0223	15	2	2	2	4	1.0061	2015	2	0.5031
669	"visser, m"	-0.3277	0.3009	2	3	3	1	14	0.7087	2011	14	0.7087
670	"visser, ms"	-0.566	-0.3419	10	4	11	3	214	12.7137	2011.3333	71.3333	4.2379
673	"wagner, c"	0.2217	-0.2415	12	1	1	1	44	1.4637	2009	44	1.4637
674	"wagner, cs"	0.2336	0.0016	1	9	10	3	212	12.684	2011	70.6667	4.228
675	"walch-solimena, c"	0.0844	-0.2712	12	3	3	1	22	1.1137	2011	22	1.1137
676	"wallace, ml"	0.5926	-0.1497	3	2	2	1	53	1.7631	2009	53	1.7631
679	"waltman, l"	-0.538	-0.2587	10	13	29	19	485	44.9172	2012.3158	25.5263	2.3641
680	"wang, cc"	0.1761	0.2625	11	3	3	1	1	0.5634	2015	1	0.5634
688	"wang, j"	0.1171	-0.3364	23	3	5	4	41	8.523	2014	10.25	2.1307
690	"wang, ms"	-0.0421	0.0572	14	3	3	1	4	0.5234	2013	4	0.5234
692	"wang, q"	-0.5406	-0.2088	10	1	1	1	0	0	2016	0	0
693	"wang, qj"	0.2227	-0.3857	20	3	3	1	0	0	2015	0	0
702	"weeren, a"	0.0389	-0.0064	15	1	1	1	0	0	2016	0	0
703	"wei, jc"	-0.1937	-0.1686	22	2	2	1	13	1.2347	2012	13	1.2347
704	"wei, t"	-0.1742	0.1839	5	9	9	1	1	1.4516	2016	1	1.4516
705	"welbers, k"	0.1791	-0.1545	12	1	1	1	15	0.7593	2011	15	0.7593
709	"williams, r"	0.0053	-0.374	8	1	1	1	11	1.4394	2013	11	1.4394
711	"wilson, p"	0.3987	0.0283	13	1	2	2	27	6.7914	2014	13.5	3.3957
716	"wouters, p"	-0.5282	-0.308	10	2	2	1	7	0.916	2013	7	0.916
718	"wu, cs"	-0.2107	0.1826	5	9	9	1	1	1.4516	2016	1	1.4516
720	"wu, js"	-0.1602	0.1199	5	9	9	1	1	1.4516	2016	1	1.4516
728	"xu, f"	-0.1833	-0.0684	5	2	2	1	0	0	2015	0	0
733	"yan, e"	0.4229	-0.2162	3	5	6	2	27	2.8514	2012.5	13.5	1.4257
734	"yan, ej"	0.2401	-0.333	20	7	7	5	29	5.258	2014	5.8	1.0516
736	"yang, gl"	-0.2306	-0.0168	5	5	7	2	3	0.7546	2015	1.5	0.3773
737	"yang, hw"	0.1018	0.3968	11	2	2	1	1	0.5634	2015	1	0.5634
739	"yang, ly"	-0.2063	0.052	5	14	19	5	19	3.2865	2013.6	3.8	0.6573
743	"ye, fy"	-0.0281	0.1047	14	9	15	8	58	5.5387	2011.875	7.25	0.6923
745	"yoon, ds"	0.6086	-0.2802	4	4	4	1	0	0	2016	0	0
746	"yoon, hg"	0.7022	-0.3427	4	3	3	1	0	0	2016	0	0
747	"yoon, jw"	0.7659	-0.3159	4	2	2	1	5	0.4749	2012	5	0.4749
748	"yoon, p"	0.1195	0.1539	1	4	4	1	2	0.5031	2014	2	0.5031
755	"yu, q"	0.5549	-0.3853	4	5	5	1	0	0	2015	0	0
757	"yu, yy"	0.3502	-0.2428	3	3	3	1	0	0	2016	0	0
759	"yuan, cc"	0.2793	0.3411	21	3	3	1	5	0.4749	2012	5	0.4749
761	"yue, t"	-0.1539	0.0518	5	2	2	1	7	0.3205	2010	7	0.3205
767	"zhang, b"	0.5148	-0.3962	4	5	5	1	0	0	2015	0	0
769	"zhang, l"	-0.4703	-0.0177	7	5	7	3	48	2.5258	2011	16	0.8419
771	"zhang, sf"	0.2788	0.3087	21	3	3	1	5	0.4749	2012	5	0.4749
773	"zhao, sx"	-0.0479	0.1427	14	4	7	4	32	3.9618	2013	8	0.9904
776	"zhong, yf"	0.2482	-0.0911	12	1	1	1	2	0.19	2012	2	0.19
777	"zhong, z"	-0.3601	-0.0271	7	2	2	1	0	0	2015	0	0
778	"zhou, p"	0.2346	-0.1039	12	2	2	2	24	1.3037	2011.5	12	0.6518
781	"zhu, jy"	0.4033	-0.465	6	7	7	1	7	0.6649	2012	7	0.6649
782	"zhu, y"	0.2606	-0.312	20	1	1	1	1	0.5634	2015	1	0.5634
