id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>	score<Avg. pub. year>	score<Avg. cit. impact>	score<Perc. JASIST>	score<Perc. JOI>	score<Perc. Scientometrics>	score<Perc. USA>	score<Perc. China>	score<Perc. Belgium>	score<Perc. Netherlands>	score<Perc. OA free to read>	score<Perc. OA green>	score<Perc. OA hybrid>
46	assignee	-0.2925	-0.8404	4	119	211	18	2011.8889	0.6135	0.0556	0.1667	0.7778	0.0556	0.3889	0	0	0.2778	0.2778	0
47	astronomy	-0.5738	0.1429	2	130	192	22	2012.5	1.3973	0.1364	0.0455	0.8182	0.4091	0	0	0	0.5	0.3636	0.1364
48	astrophysic	-0.5706	0.1492	2	78	102	13	2013.1538	1.184	0.3077	0	0.6923	0.3846	0.0769	0	0	0.3846	0.3077	0.0769
49	attitude	0.8747	0.4119	1	213	400	39	2012.2564	1.2678	0.7949	0.0513	0.1538	0.4872	0.0769	0	0.0256	0.1795	0.1282	0.0513
50	attribute	0.7063	0.1636	1	393	768	80	2012.1	1.0117	0.6125	0.15	0.2375	0.4125	0.1375	0.025	0.0375	0.275	0.25	0.025
51	attribution	0.2556	-0.093	1	148	189	21	2012.3333	2.4783	0.7143	0	0.2857	0.1905	0.0476	0.0476	0.1905	0.4286	0.381	0.0476
52	australia	-1.0483	-0.2612	3	279	535	42	2012.2381	0.8414	0.119	0.1667	0.7143	0.0714	0.1905	0	0.0238	0.4048	0.381	0.0238
53	author co citation analysis	0.2693	-0.3993	4	113	160	19	2011.7368	0.7566	0.2632	0.2105	0.5263	0.1053	0.2632	0	0.1053	0.1579	0.1579	0
54	author keyword	-1.2045	-0.3448	3	207	492	34	2012.2059	1.753	0.0882	0.0882	0.8235	0.0588	0.7059	0	0	0.1471	0.1471	0
55	author name	0.4296	-0.2503	1	144	206	24	2011.5833	0.9135	0.5	0.125	0.375	0.25	0.0417	0.0417	0.125	0.375	0.2083	0.1667
56	author name disambiguation	0.288	-0.3599	4	71	91	11	2013.4545	1.4557	0.4545	0.1818	0.3636	0.0909	0.0909	0	0.0909	0.0909	0.0909	0
57	authorship	-0.916	0.2568	3	361	756	78	2012.1667	1.2576	0.0897	0.1026	0.8077	0.141	0.1667	0.0385	0.0385	0.2692	0.2308	0.0385
58	authorship pattern	-0.7849	-0.1228	3	153	214	18	2013	0.9225	0	0	1	0.1667	0.1667	0.0556	0.0556	0.2222	0.2222	0
59	available data	-0.6025	0.0694	2	121	133	12	2011.8333	1.8317	0.3333	0	0.6667	0.1667	0	0	0	0.4167	0.3333	0.0833
60	average	-0.4647	0.4328	2	566	1324	146	2012.2123	1.2912	0.2123	0.2534	0.5342	0.137	0.0753	0.0753	0.1027	0.2534	0.2329	0.0205
61	average citation	-0.9769	0.0911	3	133	185	17	2012.8824	0.7901	0.1176	0.0588	0.8235	0	0.3529	0.0588	0	0.1176	0.1176	0
62	average number	-0.7026	0.424	2	320	617	58	2011.8621	1.2148	0.1724	0.1897	0.6379	0.069	0.1034	0.1552	0.0345	0.3103	0.3103	0
63	awareness	0.7178	0.2208	1	196	268	31	2011.7742	0.684	0.7097	0	0.2903	0.3871	0.129	0.0323	0	0.1613	0.0968	0.0645
64	axiom	-0.1921	0.7397	2	55	113	17	2010.4118	0.9787	0.2353	0.5882	0.1765	0.0588	0.1176	0.1765	0.2941	0.1765	0.1765	0
65	axiomatic characterization	-0.1943	0.7412	2	39	83	12	2010.6667	0.9533	0.0833	0.5	0.4167	0	0.0833	0.25	0.3333	0.3333	0.3333	0
66	barrier	0.3783	0.0339	1	197	276	32	2011.9375	1.0045	0.6562	0.0312	0.3125	0.375	0.0625	0.0312	0.0312	0.25	0.1875	0.0625
67	baseline	0.883	-0.4158	1	228	368	38	2012.5263	0.9533	0.6316	0.1053	0.2632	0.2105	0.0789	0.0263	0.0263	0.2895	0.2368	0.0526
68	baseline method	0.7865	-0.4817	1	62	82	10	2013.3	0.7305	0.6	0.3	0.1	0.5	0.4	0	0	0.1	0.1	0
69	basic research	-0.87	0.008	3	86	108	13	2012.1538	0.7469	0.1538	0	0.8462	0.0769	0.5385	0	0.1538	0.1538	0.0769	0.0769
70	beauty	-0.2887	0.4714	2	45	57	13	2013.4615	2.1315	0.3846	0.0769	0.5385	0.1538	0.4615	0.0769	0.2308	0.1538	0.1538	0
71	behavior	0.8834	0.2121	1	716	2717	290	2012.0724	0.8939	0.7069	0.0966	0.1966	0.4345	0.1069	0.0172	0.0552	0.2207	0.2	0.0207
72	belgium	-1.1175	-0.0332	3	123	161	13	2012.0769	1.1035	0.0769	0.2308	0.6923	0.0769	0.0769	0.6923	0.0769	0.1538	0.0769	0.0769
73	belief	0.8444	0.4628	1	163	243	26	2012.0769	1.1388	0.5769	0.1538	0.2692	0.2692	0.0769	0	0.0769	0.2692	0.1154	0.1538
74	better performance	0.5332	-0.5455	2	77	93	10	2012.2	0.7392	0.3	0.1	0.6	0.1	0.3	0	0	0.1	0.1	0
75	better result	0.8128	-0.5101	1	88	104	11	2012.0909	0.515	0.4545	0	0.5455	0.0909	0.2727	0	0.0909	0.3636	0.3636	0
76	betweenness	-0.1769	-0.3187	4	152	223	19	2013	1.1972	0.1579	0.2105	0.6316	0.3158	0.2105	0	0.1053	0.3158	0.3158	0
77	betweenness centrality	-0.1657	-0.3345	4	179	290	28	2012.75	1.8617	0.2143	0.3214	0.4643	0.1071	0.2143	0.1071	0.2143	0.2143	0.2143	0
78	bibliographic coupling	0.1394	-0.4225	4	189	288	39	2012.359	1.4366	0.1282	0.2821	0.5897	0.1795	0.1538	0.1795	0.1026	0.1795	0.1795	0
79	bibliographic record	0.5348	-0.3284	1	163	227	24	2012.0417	1.2832	0.3333	0.1667	0.5	0.375	0.0417	0	0.0417	0.375	0.3333	0.0417
80	bibliometric analysis	-0.9132	-0.2543	3	663	2549	231	2013.0823	1.3353	0.0736	0.0779	0.8485	0.1169	0.3247	0.013	0.0736	0.2165	0.1861	0.0303
81	bibliometric approach	-0.6007	-0.418	3	245	408	43	2012.8605	1.1066	0.0698	0.1163	0.814	0.093	0.3023	0.0465	0.0233	0.1395	0.1395	0
82	bibliometric evaluation	-1.1151	0.0551	3	135	175	15	2012.7333	0.9641	0.2	0.2	0.6	0.0667	0.1333	0	0.1333	0.3333	0.3333	0
83	bibliometric index	-0.3789	0.1542	2	147	222	28	2012.9643	1.1476	0.1071	0.3571	0.5357	0.0357	0.0714	0.0357	0.0714	0.3571	0.3214	0.0357
84	bibliometric indicator	-0.5037	0.2584	2	548	1378	159	2012.5409	1.6002	0.1321	0.1824	0.6855	0.0692	0.0818	0.0755	0.1572	0.3019	0.2579	0.044
85	bibliometric mapping	0.3245	-0.4655	4	67	75	12	2011.6667	2.2718	0.3333	0.0833	0.5833	0.0833	0	0	0.5	0.5	0.4167	0.0833
86	bibliometric measure	-0.4082	0.1458	2	161	218	26	2011.6923	1.3807	0.3846	0.1538	0.4615	0.3462	0.0769	0	0	0.3077	0.3077	0
87	bibliometric method	-0.6163	-0.3411	3	288	527	59	2012.1525	1.4852	0.1356	0.0169	0.8475	0.0339	0.2542	0.0678	0	0.2373	0.2373	0
88	bibliometric ranking	-0.3026	0.3105	2	81	110	14	2011.2857	1.2484	0.2143	0.2857	0.5	0	0	0.5	0.2857	0.3571	0.3571	0
89	bibliometric study	-0.6483	-0.0537	3	419	839	86	2012.5233	1.2033	0.1163	0.1163	0.7674	0.0581	0.1512	0.0465	0.0698	0.1395	0.1395	0
90	bibliometric technique	-0.4295	-0.5915	4	141	190	22	2012.5455	1.059	0.1818	0.0455	0.7727	0.0909	0.1364	0	0	0.2273	0.2273	0
91	bibliometrician	0.0337	0.6049	2	137	194	19	2013.1579	1.6678	0.2632	0.2105	0.5263	0.2105	0	0.1053	0.3158	0.4737	0.3684	0.1053
92	bibliometrics	0.0989	0.0989	2	61	70	10	2011.8	1.2143	0.6	0.1	0.3	0.3	0.1	0.1	0.2	0.6	0.5	0.1
93	big science	-0.2996	-0.0127	2	68	90	12	2012.5833	0.8216	0.0833	0.1667	0.75	0.4167	0	0	0	0.6667	0.6667	0
94	biochemistry	-1.0398	0.034	3	237	388	29	2013.3103	2.0289	0.2414	0.1379	0.6207	0.1724	0.1724	0.0345	0.0345	0.2069	0.2069	0
95	bioinformatic	0.1419	-0.5011	4	115	152	14	2011.7857	0.6399	0.3571	0.0714	0.5714	0.2143	0.2143	0.0714	0	0.0714	0.0714	0
96	biomedical journal	-0.3811	0.0592	2	66	79	11	2012.0909	0.5686	0.0909	0	0.9091	0.5455	0	0	0	0.0909	0.0909	0
97	biomedical literature	0.9465	-0.4129	1	90	111	15	2012.4	2.7669	0.6667	0.1333	0.2	0.6	0.0667	0	0.1333	0.3333	0.3333	0
98	biomedical research	-0.446	-0.3614	3	137	172	17	2012.8824	1.9254	0.1765	0.1176	0.7059	0.2353	0.1176	0	0	0.2941	0.2941	0
99	biotechnology	-0.4865	-0.7017	4	242	431	36	2011.2778	0.9151	0.0278	0.0833	0.8889	0.0556	0.2222	0.1944	0.0833	0.0833	0.0833	0
100	blog	0.8731	-0.0582	1	199	355	38	2011.8158	2.079	0.6579	0.1579	0.1842	0.2368	0.1053	0.0263	0.0526	0.2368	0.2368	0
101	book chapter	-0.8749	0.2818	3	75	102	11	2012.9091	1.3447	0.0909	0.1818	0.7273	0.1818	0	0.2727	0	0.2727	0.1818	0.0909
102	bornmann	-0.1641	0.6501	2	71	88	15	2014.3333	1.1571	0.2	0.5333	0.2667	0	0.1333	0.1333	0.2	0.1333	0.1333	0
103	bradford	-0.7217	-0.0405	3	143	207	19	2012	0.7551	0.0526	0.1053	0.8421	0	0.1053	0	0	0.1579	0.1579	0
104	branch	-0.7188	-0.6095	3	167	236	20	2012.45	1.2539	0.25	0.2	0.55	0.25	0.1	0	0.1	0.25	0.25	0
105	brazil	-1.0269	-0.3193	3	325	785	63	2013.127	1.0183	0.0952	0.0159	0.8889	0.0476	0.0476	0.0159	0.0317	0.1905	0.1905	0
106	brief communication	-0.0176	0.5419	2	74	85	14	2011.3571	0.9196	0.8571	0.0714	0.0714	0.2143	0	0	0.1429	0.3571	0.3571	0
107	browsing	1.1249	-0.0959	1	139	235	20	2010.15	0.5865	0.85	0	0.15	0.6	0.1	0	0	0.25	0.25	0
108	building	0.9272	0.1542	1	281	428	42	2011.4286	1.1239	0.5952	0	0.4048	0.2857	0.119	0.0714	0.0476	0.2143	0.2143	0
109	byline	-0.8352	0.1629	3	73	87	12	2012.5833	1.6939	0.1667	0.1667	0.6667	0.1667	0.3333	0.1667	0.1667	0.25	0.1667	0.0833
110	calculation	-0.1713	0.5324	2	300	520	65	2012.0154	1.5906	0.2462	0.3385	0.4154	0.1231	0.1846	0.0923	0.1077	0.3231	0.2615	0.0615
111	california	-0.653	-0.3074	3	102	128	10	2012.6	1.3245	0.4	0	0.6	0.5	0.4	0	0.1	0.1	0.1	0
112	canada	-1.1621	-0.2793	3	304	648	43	2012.3721	1.1933	0.1395	0.093	0.7674	0.186	0.3023	0.0233	0.0465	0.2093	0.186	0.0233
113	candidate	0.3462	-0.0914	1	180	258	30	2012.4333	0.831	0.4333	0.0667	0.5	0.1667	0.0667	0.0333	0.0333	0.1667	0.1333	0.0333
114	capability	0.2225	-0.662	4	416	874	91	2012.0549	0.7441	0.3407	0.0659	0.5934	0.2967	0.2198	0.022	0.044	0.0989	0.0879	0.011
115	career	-0.4005	0.1819	2	285	482	58	2012.5517	0.8607	0.1897	0.1379	0.6724	0.2931	0.0862	0.0345	0.1034	0.2931	0.2759	0.0172
116	centrality	-0.1562	-0.3135	4	327	652	69	2013.2029	1.4469	0.1884	0.2029	0.6087	0.2464	0.3043	0.058	0.029	0.1449	0.1449	0
117	centrality measure	-0.1758	-0.2951	4	165	284	27	2012.8148	1.911	0.2963	0.1111	0.5926	0.2963	0.3333	0	0.0741	0.2222	0.2222	0
118	century	-0.5144	-0.145	3	289	497	49	2012.2653	1.8648	0.3061	0.0612	0.6327	0.2041	0.2245	0.0612	0.0204	0.2245	0.2245	0
119	characterization	-0.222	0.7247	2	216	324	37	2012.1081	1.0112	0.2703	0.2703	0.4595	0.2162	0.1622	0.1622	0.1081	0.2432	0.2432	0
120	chemistry	-0.7689	0.1566	2	508	1233	118	2011.7119	1.3627	0.1525	0.1441	0.7034	0.1949	0.161	0.0339	0.0339	0.2881	0.2542	0.0339
121	child	0.7681	0.2242	1	165	244	23	2010.8696	0.4784	0.8261	0	0.1739	0.3478	0	0	0.0435	0.1304	0.087	0.0435
122	china	-0.8617	-0.5682	3	670	3076	251	2012.745	1.0186	0.1116	0.0797	0.8088	0.1315	0.6135	0.0398	0.0637	0.1394	0.1275	0.012
123	chinese	0.2369	-0.8092	4	82	94	12	2011.9167	0.7995	0.3333	0.0833	0.5833	0.3333	0.5	0	0	0.1667	0.0833	0.0833
124	chinese academy	-1.0582	-0.4962	3	217	433	28	2013.5	0.9223	0.1071	0.0714	0.8214	0.1429	0.8929	0.0357	0.0714	0.1071	0.1071	0
125	chinese author	-0.8789	-0.2928	3	84	112	10	2011.9	0.7802	0.2	0	0.8	0.1	0.8	0.1	0	0.1	0.1	0
126	chinese university	-0.3547	-0.1524	2	106	149	16	2012.875	0.6804	0.0625	0.125	0.8125	0	0.8125	0.125	0.0625	0.0625	0.0625	0
127	citation advantage	-0.7426	0.5083	2	82	110	14	2012.7143	2.1738	0.2857	0.1429	0.5714	0.2143	0.0714	0	0	0.2143	0.2143	0
128	citation behavior	-0.4892	0.6438	2	192	280	32	2012.0625	1.2455	0.2812	0.2812	0.4375	0.2812	0.0938	0	0.125	0.3438	0.3438	0
129	citation count	-0.3242	0.4662	2	596	1601	176	2012.8523	2.1452	0.233	0.3295	0.4375	0.1875	0.1364	0.0398	0.0909	0.3295	0.3125	0.017
130	citation data	-0.277	0.4061	2	481	1017	111	2012.5135	1.2621	0.2162	0.2252	0.5586	0.2523	0.1892	0.0541	0.1081	0.3153	0.2973	0.018
131	citation database	-0.1292	0.2051	2	212	351	37	2011.4324	2.4615	0.1892	0.2703	0.5405	0.1081	0.1892	0	0	0.1892	0.1622	0.027
132	citation distribution	-0.334	0.6339	2	285	577	71	2012.2817	1.4826	0.2817	0.2958	0.4225	0.1127	0.1268	0.1549	0.1549	0.4225	0.3803	0.0423
133	citation frequency	-0.4494	0.3835	2	163	210	27	2012.2593	0.6574	0.1111	0.2222	0.6667	0.1481	0.1481	0	0.0741	0.2593	0.2593	0
134	citation impact	-0.6585	0.4222	2	530	1497	158	2012.3987	1.8247	0.1582	0.2532	0.5886	0.0759	0.1709	0.1203	0.2025	0.3354	0.2911	0.0443
135	citation index	-0.6657	0.3053	2	369	692	68	2012.6176	1.9516	0.1912	0.1324	0.6765	0.1324	0.0588	0.0588	0.1176	0.2353	0.2206	0.0147
136	citation indicator	-0.4386	0.4682	2	193	262	30	2012.5667	2.0932	0.2	0.4	0.4	0.0667	0.1333	0.2	0.2	0.4667	0.4667	0
137	citation link	0.0042	-0.454	4	143	186	20	2011.85	1.0017	0.15	0.3	0.55	0.2	0.15	0.35	0.15	0.15	0.15	0
138	citation network	-0.0038	-0.3157	4	372	819	103	2012.5728	1.2169	0.2524	0.301	0.4466	0.1748	0.2816	0.0874	0.068	0.301	0.301	0
139	citation number	-0.4843	0.3791	2	117	147	16	2011.8125	1.7874	0.0625	0.25	0.6875	0.25	0.0625	0.0625	0.1875	0.5	0.375	0.125
140	citation pattern	-0.5714	0.2306	2	305	495	55	2012.1273	1.1246	0.3273	0.0909	0.5818	0.2	0.1636	0.0909	0.1273	0.2545	0.2545	0
141	citation performance	-0.4593	0.5578	2	164	203	21	2010.8095	1.2295	0.1429	0.3333	0.5238	0.0476	0.0952	0.0476	0.0952	0.1429	0.1429	0
142	citation practice	-0.3808	0.4412	2	191	285	29	2012.4138	2.2109	0.2759	0.3448	0.3793	0.2414	0.0345	0	0.2759	0.5517	0.5517	0
143	citation ranking	-0.4148	0.2291	2	85	108	13	2010.6923	1.8661	0.4615	0.1538	0.3846	0.3846	0.1538	0	0	0.3077	0.3077	0
144	citation rate	-0.5599	0.4623	2	416	822	95	2012.1053	1.3539	0.2105	0.1684	0.6211	0.1474	0.0421	0.0737	0.0737	0.2947	0.2842	0.0105
145	citation record	-0.1285	0.2868	2	126	166	22	2011.9545	1.0593	0.2273	0.4091	0.3636	0.1818	0.0455	0.0455	0.0455	0.4091	0.4091	0
146	citation score	-0.4083	0.4667	2	205	295	32	2013.2188	2.9123	0.25	0.3438	0.4062	0.125	0.0312	0.0312	0.2812	0.5312	0.5	0.0312
147	citation window	-0.383	0.6949	2	136	197	23	2012.3478	1.4143	0.2609	0.3478	0.3913	0	0.0435	0.087	0.2609	0.4348	0.3043	0.1304
148	citedness	-0.6479	0.4599	2	151	210	21	2011.5238	1.1985	0.1429	0.2857	0.5714	0.0476	0.0476	0	0.0952	0.3333	0.3333	0
149	citer	-0.0787	0.5697	2	65	77	12	2011.5833	1.6103	0.4167	0.0833	0.5	0.5833	0.0833	0	0	0.1667	0.1667	0
150	classification system	0.0643	0.3881	2	173	241	33	2012.5152	2.0386	0.4242	0.303	0.2727	0.0909	0.1515	0.0606	0.3939	0.4848	0.4848	0
151	classifier	0.7925	-0.4194	1	162	278	35	2011.7143	0.6252	0.7429	0.0857	0.1714	0.2857	0.1429	0.0286	0.0286	0.2571	0.2571	0
152	climate change	-0.9644	-0.5516	3	131	196	17	2014	0.8385	0.2353	0	0.7647	0.1176	0.4118	0	0.1176	0.2353	0.1176	0.1176
153	clinical medicine	-1.0617	-0.0575	3	152	208	16	2012.0625	0.9316	0.25	0	0.75	0.0625	0.125	0	0	0.25	0.1875	0.0625
154	closeness	-0.1682	-0.3028	4	95	133	12	2014	1.6254	0.1667	0.25	0.5833	0.4167	0.0833	0	0	0.1667	0.1667	0
155	closeness centrality	-0.1609	-0.3224	4	82	124	12	2011.5	2.7154	0.3333	0.25	0.4167	0.3333	0.25	0	0.1667	0.25	0.25	0
156	clustering	0.3613	-0.4235	4	374	727	91	2011.9121	0.9327	0.4066	0.1099	0.4835	0.2308	0.2967	0.1538	0.0549	0.2637	0.2308	0.033
157	clustering result	0.6288	-0.333	1	61	87	11	2011.9091	0.6836	0.4545	0.0909	0.4545	0	0.4545	0.2727	0	0	0	0
158	co author	-0.2531	0.1284	2	310	536	55	2012.7273	1.486	0.0545	0.2182	0.7273	0.1455	0.1273	0.0545	0.0909	0.3273	0.3091	0.0182
159	co authorship	-0.5141	-0.3659	3	410	889	84	2012.2738	1.3147	0.0476	0.1429	0.8095	0.1429	0.1071	0.0714	0.0833	0.1905	0.1667	0.0238
160	co authorship network	-0.2129	-0.3727	4	231	424	48	2013.3333	1.4368	0	0.2083	0.7917	0.1875	0.1667	0.0625	0.0625	0.2708	0.25	0.0208
161	co citation	0.1506	-0.4024	4	182	279	33	2012.3636	1.4629	0.1818	0.1818	0.6364	0.1515	0.2424	0.0606	0.0909	0.1818	0.1818	0
162	co citation analysis	0.1179	-0.4543	4	174	258	29	2013.5517	1.1649	0.0345	0.0345	0.931	0.1724	0.3103	0.1379	0.0345	0.069	0.069	0
163	co citation network	0.0591	-0.4585	4	140	192	23	2013.2609	0.9429	0.087	0.1304	0.7826	0.3478	0.6087	0	0.0435	0.3913	0.3913	0
164	co occurrence	0.1686	-0.5935	4	197	277	29	2012.3448	0.8539	0.2069	0.1034	0.6897	0.2759	0.2069	0	0	0.1724	0.1724	0
165	co word	0.0717	-0.7318	3	93	119	10	2012.7	0.9393	0	0.2	0.8	0.1	0.3	0	0.1	0.4	0.4	0
166	co word analysis	0.2019	-0.5708	4	161	238	25	2011.96	1.5809	0.08	0	0.92	0.12	0.56	0.08	0.04	0.08	0.08	0
167	coauthorship	-0.1609	-0.0727	2	170	259	28	2012.0714	1.3512	0.4286	0.1429	0.4286	0.2857	0.1429	0.0357	0.0714	0.2143	0.2143	0
168	coauthorship network	-0.1537	-0.3779	4	123	179	21	2012.1905	2.6846	0.5714	0.2857	0.1429	0.7619	0.1905	0	0.0952	0.381	0.381	0
169	cocitation analysis	0.3146	-0.3478	4	111	160	22	2010.5	1.1925	0.7727	0.0909	0.1364	0.2727	0.2273	0	0.0455	0.2273	0.2273	0
170	cognition	1.1375	-0.0522	1	93	126	12	2011.25	0.8058	0.8333	0	0.1667	0.5833	0.25	0	0	0.25	0.25	0
